puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-3.0
dotogether-b.lgp,T,-3,-3.1
dotogether-o.lgp,T,-3,-3.1
dotogether-m.lgp,T,-4,-3.3
dotogether-n.lgp,T,-4,-3.7
dotogether-c.lgp,T,-4,-3.6
dotogether-l.lgp,T,-3,-3.8
dotogether-d.lgp,T,-4,-3.5
dotogether-i.lgp,T,-3,-3.3
dotogether-j.lgp,T,-3,-3.3
dotogether-k.lgp,T,-3,-3.2
dotogether-h.lgp,T,-4,-3.3
repeat-e.lgp,C,-2,-3.5
repeat-ee.lgp,C,-3,-3.1
repeat-gg.lgp,C,-3,-3.3
repeat-a.lgp,C,-2,-3.5
repeat-m.lgp,C,-4,-3.3
repeat-g.lgp,C,-3,-2.6
repeat-dd.lgp,CbCe,-2,-1.8
repeat-hh.lgp,CbCe,-3,-1.7
repeat-c.lgp,CbCe,-3,-1.8
repeat-ff.lgp,CbCe,-3,-1.8
repeat-o.lgp,CbTe,-3,-3.3
repeat-n.lgp,CbTe,-4,-3.3
repeat-x.lgp,TbCe,-4,-1.9000001
repeat-l.lgp,TbCe,-4,-2.2
repeat-y.lgp,TbCe,5,-2.1
repeat-q.lgp,TbCe,-1,-0.5
repeat-p.lgp,TbCe,1,-0.29999995
repeat-r.lgp,TbCe,-1,-1.3
repeat-z.lgp,CbTe/TbCe,-2,-1.5500001
repeat-aa.lgp,CbTe/TbCe,-1,-1.65
doinorder-a.lgp,TbOe,-2,-1.7
doinorder-k.lgp,TbOe,-2,-3.0
doinorder-f.lgp,TbOe,-2,-2.0
doinorder-w.lgp,TbOe,-2,0.099999905
doinorder-b.lgp,TbOe,-2,0.3000002
doinorder-o.lgp,TbOe,-2,0.6999998
doinorder-g.lgp,TbOe,-3,-1.5
doinorder-x.lgp,TbOe,-4,-1.7
doinorder-p.lgp,TbOe,-4,-3.2
doinorder-r.lgp,TbOe,-3,-2.8
doinorder-s.lgp,TbObTee,-3,0.9000001
doinorder-y.lgp,TbOe,-3,-2.4
doinorder-t.lgp,TbObTee,-3,-2.8
doinorder-u.lgp,TbObTee,-3,-2.8
doinorder-j.lgp,TbObTee,-2,-1.0
doinorder-bb.lgp,TbObTee,1,0.4000001
doinorder-cc.lgp,TbObTee,-2,-0.29999995
doinorder-h.lgp,TbObTee,-3,-0.29999995
repeat-t.lgp,CbTe/TbCe,-2,-1.1
repeat-u.lgp,TbObTee,5,-1.0
repeat-u.lgp,TbObTee,-3,-1.0
repeat-bb.lgp,CbTe/TbCe,-3,-1.55
integrative-h.lgp,TbOe,-3,-2.9
integrative-i.lgp,TbCOe,-4,-2.5
integrative-f.lgp,TbCOe,-4,-2.5
integrative-c.lgp,TbOe,-4,-1.5999999
integrative-a.lgp,TbCOe,-4,-2.5
