puzzle,model,cogLoad,predicted
dotogether-n.lgp,T,-4,-2.8
dotogether-a.lgp,T,-4,-3.2
dotogether-o.lgp,T,-2,-3.4
dotogether-m.lgp,T,-3,-3.4
dotogether-e.lgp,T,-3,-2.8
dotogether-b.lgp,T,-3,-3.4
dotogether-l.lgp,T,-4,-3.3
dotogether-c.lgp,T,-2,-3.5
dotogether-i.lgp,T,-1,-3.0
dotogether-d.lgp,T,-2,-3.2
dotogether-f.lgp,T,5,-2.3
dotogether-k.lgp,T,0,-0.20000005
dotogether-g.lgp,T,-2,-0.29999995
dotogether-h.lgp,T,1,0.19999981
repeat-gg.lgp,C,-2,-2.5
repeat-ee.lgp,C,-4,-2.6
repeat-f.lgp,C,-2,-2.6
repeat-m.lgp,C,-1,-2.8
repeat-b.lgp,C,-1,-2.2
repeat-g.lgp,C,-2,-2.3
repeat-dd.lgp,CbCe,5,1.0
repeat-a.lgp,C,-2,-1.8
repeat-cc.lgp,CbCe,0,3.4
repeat-ii.lgp,CbCe,-1,2.8000002
repeat-c.lgp,CbCe,-2,4.5
repeat-ff.lgp,CbCe,0,2.8000002
repeat-i.lgp,CbTe,5,-2.2
repeat-i.lgp,CbTe,5,-2.2
repeat-o.lgp,CbTe,-2,-2.1
repeat-i.lgp,CbTe,5,-2.2
repeat-j.lgp,CbTe,-2,-1.7
repeat-w.lgp,TbCe,-2,0.3000002
repeat-l.lgp,TbCe,-3,0.099999905
repeat-x.lgp,TbCe,-1,-0.20000005
repeat-q.lgp,TbCe,-2,0.5
repeat-y.lgp,TbCe,-1,1.0999999
repeat-s.lgp,CbTe/TbCe,0,-0.4000001
repeat-z.lgp,CbTe/TbCe,-1,-0.79999995
repeat-aa.lgp,CbTe/TbCe,-1,-0.45000005
doinorder-n.lgp,TbOe,0,1.3000002
doinorder-k.lgp,TbOe,-4,1.5
doinorder-f.lgp,TbOe,-3,-0.9000001
doinorder-g.lgp,TbOe,5,0.6999998
doinorder-o.lgp,TbOe,5,2.8000002
doinorder-l.lgp,TbOe,5,3.0
doinorder-a.lgp,TbOe,0,1.8000002
doinorder-w.lgp,TbOe,0,1.0
doinorder-b.lgp,TbOe,0,1.6999998
doinorder-g.lgp,TbOe,0,0.6999998
doinorder-x.lgp,TbOe,-3,-0.20000005
doinorder-q.lgp,TbOe,5,1.3000002
doinorder-d.lgp,TbOe,5,0.9000001
doinorder-o.lgp,TbOe,5,2.8000002
doinorder-d.lgp,TbOe,5,0.9000001
doinorder-d.lgp,TbOe,0,0.9000001
doinorder-p.lgp,TbOe,-2,1.3000002
doinorder-q.lgp,TbOe,-2,1.3000002
doinorder-y.lgp,TbOe,-3,0.3000002
doinorder-m.lgp,TbObTee,5,0.4000001
doinorder-r.lgp,TbOe,-1,1.5
doinorder-z.lgp,TbObTee,5,1.0
doinorder-t.lgp,TbObTee,-1,1.0
doinorder-z.lgp,TbObTee,-4,1.0
