puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-2,-2.9
dotogether-a.lgp,T,-4,-2.3
dotogether-m.lgp,T,-3,-3.5
dotogether-n.lgp,T,-4,-3.4
dotogether-o.lgp,T,-3,-3.5
dotogether-e.lgp,T,-4,-3.2
dotogether-c.lgp,T,0,-3.6
dotogether-d.lgp,T,-4,-3.5
dotogether-f.lgp,T,0,-3.4
dotogether-i.lgp,T,-1,-1.9000001
dotogether-j.lgp,T,0,-2.2
dotogether-h.lgp,T,1,-1.7
repeat-gg.lgp,C,-4,-2.8
repeat-ee.lgp,C,-4,-2.8
repeat-f.lgp,C,-3,-3.1
repeat-e.lgp,C,-3,-3.6
repeat-m.lgp,C,-4,-3.6
repeat-g.lgp,C,-3,-2.9
repeat-b.lgp,C,-2,-2.8
repeat-a.lgp,C,-2,-3.3
repeat-cc.lgp,CbCe,-1,-1.8
repeat-dd.lgp,CbCe,-1,-1.7
repeat-ii.lgp,CbCe,-3,-0.70000005
repeat-hh.lgp,CbCe,-3,-1.0
repeat-c.lgp,CbCe,-2,-1.0
repeat-ff.lgp,CbCe,-3,-2.1
repeat-i.lgp,CbTe,-4,-3.0
repeat-o.lgp,CbTe,-3,-3.2
repeat-j.lgp,CbTe,-4,-2.9
repeat-n.lgp,CbTe,-3,-2.8
repeat-x.lgp,TbCe,-3,-2.3
repeat-w.lgp,TbCe,-4,-2.3
repeat-l.lgp,TbCe,-4,-2.3
repeat-q.lgp,TbCe,-2,-2.3
repeat-r.lgp,TbCe,-2,-2.3
repeat-p.lgp,TbCe,-4,-2.5
repeat-y.lgp,TbCe,-3,-2.7
repeat-z.lgp,CbTe/TbCe,-4,-3.15
repeat-s.lgp,CbTe/TbCe,-1,-2.75
repeat-aa.lgp,CbTe/TbCe,-3,-2.9
doinorder-l.lgp,TbOe,-2,-3.5
doinorder-a.lgp,TbOe,-4,-3.4
doinorder-n.lgp,TbOe,-4,-2.4
doinorder-f.lgp,TbOe,-4,-3.7
doinorder-k.lgp,TbOe,-4,-2.7
doinorder-w.lgp,TbOe,-4,-1.9000001
doinorder-b.lgp,TbOe,-4,-1.8
doinorder-o.lgp,TbOe,-4,-1.9000001
doinorder-x.lgp,TbOe,-4,-3.7
doinorder-g.lgp,TbOe,-4,-2.8
doinorder-d.lgp,TbOe,-4,-3.5
doinorder-p.lgp,TbOe,-4,-3.4
doinorder-q.lgp,TbOe,-4,-3.4
doinorder-r.lgp,TbOe,-4,-2.7
doinorder-y.lgp,TbOe,-4,-3.7
doinorder-s.lgp,TbObTee,-4,-2.8
doinorder-m.lgp,TbObTee,-4,-2.6
doinorder-z.lgp,TbObTee,-4,-2.6
doinorder-t.lgp,TbObTee,-4,-2.7
