puzzle,model,cogLoad,predicted
dotogether-o.lgp,T,-1,-2.5
dotogether-n.lgp,T,-4,-2.9
dotogether-m.lgp,T,-4,-3.5
dotogether-b.lgp,T,-2,-3.7
dotogether-e.lgp,T,-1,-3.2
dotogether-c.lgp,T,-1,-3.0
dotogether-l.lgp,T,-4,-3.0
dotogether-f.lgp,T,-2,-2.8
dotogether-j.lgp,T,-1,-3.3
dotogether-k.lgp,T,0,-3.1
dotogether-h.lgp,T,0,-1.5
repeat-e.lgp,C,-2,-2.6
repeat-f.lgp,C,-4,-2.2
repeat-a.lgp,C,-4,-3.4
repeat-dd.lgp,CbCe,-2,-1.5999999
repeat-cc.lgp,CbCe,-1,-1.5
repeat-hh.lgp,CbCe,-3,-2.1
repeat-c.lgp,CbCe,-2,-1.7
repeat-ff.lgp,CbCe,-4,-1.7
repeat-j.lgp,CbTe,-3,-3.2
repeat-n.lgp,CbTe,-2,-3.0
repeat-l.lgp,TbCe,0,-1.0
repeat-q.lgp,TbCe,1,-1.0
repeat-r.lgp,TbCe,0,-0.29999995
repeat-p.lgp,TbCe,-1,-0.099999905
repeat-y.lgp,TbCe,0,-0.5
repeat-z.lgp,CbTe/TbCe,1,-1.5
repeat-s.lgp,CbTe/TbCe,5,-1.55
repeat-x.lgp,TbCe,-2,-1.5
repeat-aa.lgp,CbTe/TbCe,-1,-1.8
doinorder-l.lgp,TbOe,-4,-0.70000005
doinorder-k.lgp,TbOe,-4,-2.4
doinorder-f.lgp,TbOe,-4,-2.4
doinorder-g.lgp,TbOe,-2,-2.3
doinorder-b.lgp,TbOe,-1,-2.0
doinorder-o.lgp,TbOe,5,-1.0
doinorder-o.lgp,TbOe,-4,-1.0
doinorder-w.lgp,TbOe,-3,-1.5
doinorder-x.lgp,TbOe,-2,-2.3
doinorder-q.lgp,TbOe,-3,-3.1
doinorder-r.lgp,TbOe,-1,-3.1
doinorder-s.lgp,TbObTee,5,0.9000001
doinorder-d.lgp,TbOe,-4,-2.6
doinorder-y.lgp,TbOe,-4,-3.2
doinorder-m.lgp,TbObTee,5,0.0
doinorder-t.lgp,TbObTee,5,1.8000002
doinorder-t.lgp,TbObTee,5,1.8000002
