puzzle,model,cogLoad,predicted
dotogether-m.lgp,T,-2,-1.5
dotogether-a.lgp,T,-3,-1.4000001
dotogether-n.lgp,T,-4,-2.5
dotogether-o.lgp,T,-2,-1.9000001
dotogether-c.lgp,T,-3,-1.0999999
dotogether-b.lgp,T,-2,-2.3
dotogether-l.lgp,T,-1,-1.3
dotogether-e.lgp,T,-3,-0.9000001
dotogether-h.lgp,T,0,-1.5
repeat-gg.lgp,C,-2,-2.6
repeat-e.lgp,C,-1,-2.6
repeat-ee.lgp,C,-3,-2.6
repeat-f.lgp,C,-3,-3.2
repeat-b.lgp,C,-2,-2.5
repeat-g.lgp,C,0,-3.0
repeat-a.lgp,C,-2,-2.8
repeat-cc.lgp,CbCe,-1,0.19999981
repeat-hh.lgp,CbCe,1,0.19999981
repeat-ii.lgp,CbCe,-3,0.5
repeat-c.lgp,CbCe,-2,-0.099999905
repeat-dd.lgp,CbCe,0,-0.20000005
repeat-ff.lgp,CbCe,-2,0.099999905
repeat-i.lgp,CbTe,-2,-2.9
repeat-j.lgp,CbTe,-2,-2.6
repeat-o.lgp,CbTe,-3,-1.8
repeat-x.lgp,TbCe,-2,0.0
repeat-q.lgp,TbCe,-3,-0.5
repeat-n.lgp,CbTe,-2,-2.1
repeat-l.lgp,TbCe,1,-0.5
repeat-y.lgp,TbCe,-2,-0.099999905
repeat-p.lgp,TbCe,-2,0.3000002
repeat-r.lgp,TbCe,-3,0.0
repeat-z.lgp,CbTe/TbCe,5,-1.1999999
repeat-w.lgp,TbCe,-3,0.6999998
repeat-aa.lgp,CbTe/TbCe,0,-1.3499999
doinorder-l.lgp,TbOe,-2,0.0
doinorder-f.lgp,TbOe,-3,-1.4000001
doinorder-a.lgp,TbOe,-2,-0.5
doinorder-k.lgp,TbOe,-2,-1.8
doinorder-w.lgp,TbOe,-2,-1.0
doinorder-o.lgp,TbOe,5,0.4000001
doinorder-b.lgp,TbOe,-2,-0.29999995
doinorder-g.lgp,TbOe,-2,-0.5999999
