puzzle,model,cogLoad,predicted
dotogether-n.lgp,T,-4,-3.1
dotogether-a.lgp,T,-4,-3.5
dotogether-b.lgp,T,-4,-3.7
dotogether-o.lgp,T,-3,-3.5
dotogether-m.lgp,T,-4,-3.6
dotogether-d.lgp,T,-4,-3.8
dotogether-e.lgp,T,-4,-3.3
dotogether-c.lgp,T,-3,-3.6
dotogether-f.lgp,T,-1,-3.2
dotogether-l.lgp,T,-4,-3.4
dotogether-i.lgp,T,-2,-3.1
dotogether-k.lgp,T,0,-3.1
dotogether-h.lgp,T,-3,-2.6
repeat-gg.lgp,C,-4,-2.7
repeat-ee.lgp,C,-4,-3.2
repeat-e.lgp,C,-4,-3.7
repeat-m.lgp,C,-4,-3.6
repeat-b.lgp,C,-3,-2.7
repeat-a.lgp,C,-4,-3.6
repeat-cc.lgp,CbCe,-4,-1.7
repeat-hh.lgp,CbCe,-3,-2.0
repeat-ii.lgp,CbCe,5,-2.0
repeat-c.lgp,CbCe,-4,2.0
repeat-ff.lgp,CbCe,-4,0.5
repeat-i.lgp,CbTe,-4,-2.5
repeat-n.lgp,CbTe,-3,-2.8
repeat-l.lgp,TbCe,0,-0.4000001
repeat-w.lgp,TbCe,-2,-0.70000005
repeat-y.lgp,TbCe,1,-1.0999999
repeat-r.lgp,TbCe,-3,0.4000001
repeat-p.lgp,TbCe,5,-0.9000001
repeat-z.lgp,CbTe/TbCe,-3,-0.30000007
repeat-aa.lgp,CbTe/TbCe,-2,-0.05000007
doinorder-a.lgp,TbOe,-3,-1.7
doinorder-k.lgp,TbOe,-4,-3.3
doinorder-f.lgp,TbOe,-4,-3.3
doinorder-n.lgp,TbOe,-3,-2.5
doinorder-l.lgp,TbOe,-3,-3.4
doinorder-w.lgp,TbOe,-4,-2.9
doinorder-g.lgp,TbOe,-2,-2.8
