puzzle,model,cogLoad,predicted
dotogether-o.lgp,T,0,-2.0
dotogether-a.lgp,T,-3,-2.4
dotogether-n.lgp,T,-3,-2.5
dotogether-m.lgp,T,-4,-3.1
dotogether-e.lgp,T,-2,-3.0
dotogether-c.lgp,T,-2,-3.0
dotogether-l.lgp,T,0,-3.3
dotogether-f.lgp,T,0,-2.4
dotogether-j.lgp,T,-1,-1.5999999
dotogether-k.lgp,T,2,-1.5999999
dotogether-h.lgp,T,2,-0.9000001
repeat-e.lgp,C,-1,-2.6
repeat-m.lgp,C,-2,-2.4
repeat-f.lgp,C,-2,-1.7
repeat-a.lgp,C,-2,-2.5
repeat-dd.lgp,CbCe,0,0.6999998
repeat-cc.lgp,CbCe,1,1.4000001
repeat-hh.lgp,CbCe,-3,1.8000002
repeat-ff.lgp,CbCe,-3,-0.5
repeat-j.lgp,CbTe,-2,-2.5
repeat-n.lgp,CbTe,-2,-2.7
repeat-l.lgp,TbCe,0,-0.5
repeat-w.lgp,TbCe,-3,-1.0999999
repeat-y.lgp,TbCe,-3,-1.3
repeat-r.lgp,TbCe,1,-0.20000005
repeat-q.lgp,TbCe,-1,-1.8
repeat-p.lgp,TbCe,5,-1.0999999
repeat-x.lgp,TbCe,-1,0.5
repeat-z.lgp,CbTe/TbCe,0,-1.0
repeat-s.lgp,CbTe/TbCe,1,0.14999998
repeat-i.lgp,CbTe,-2,-1.7
repeat-aa.lgp,CbTe/TbCe,0,-0.5500001
doinorder-a.lgp,TbOe,-1,0.0
doinorder-f.lgp,TbOe,-1,-0.9000001
doinorder-k.lgp,TbOe,-2,-0.5999999
doinorder-w.lgp,TbOe,-1,0.3000002
doinorder-b.lgp,TbOe,5,1.8000002
doinorder-n.lgp,TbOe,-2,1.6999998
doinorder-o.lgp,TbOe,5,0.5
doinorder-l.lgp,TbOe,-2,1.8000002
doinorder-g.lgp,TbOe,5,2.5
doinorder-b.lgp,TbOe,2,1.8000002
doinorder-x.lgp,TbOe,1,0.4000001
doinorder-d.lgp,TbOe,5,1.3000002
doinorder-o.lgp,TbOe,5,0.5
doinorder-g.lgp,TbOe,5,2.5
doinorder-d.lgp,TbOe,0,1.3000002
doinorder-p.lgp,TbOe,0,-0.20000005
doinorder-q.lgp,TbOe,0,0.4000001
doinorder-r.lgp,TbOe,-2,0.3000002
doinorder-s.lgp,TbObTee,5,2.9
doinorder-o.lgp,TbOe,-2,0.5
doinorder-y.lgp,TbOe,-1,-0.4000001
doinorder-z.lgp,TbObTee,5,2.3000002
doinorder-t.lgp,TbObTee,0,2.9
doinorder-z.lgp,TbObTee,5,2.3000002
doinorder-s.lgp,TbObTee,-1,2.9
doinorder-u.lgp,TbObTee,5,2.9
doinorder-m.lgp,TbObTee,5,2.9
