puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-3.0
dotogether-n.lgp,T,-3,-3.2
dotogether-b.lgp,T,-3,-2.6
dotogether-m.lgp,T,-3,-2.7
dotogether-d.lgp,T,-3,-2.6
dotogether-o.lgp,T,-2,-2.3
dotogether-e.lgp,T,-2,-2.1
dotogether-c.lgp,T,-2,-2.3
dotogether-f.lgp,T,-1,-1.8
dotogether-l.lgp,T,-1,-1.8
dotogether-i.lgp,T,-2,-1.0
dotogether-k.lgp,T,-3,-1.3
repeat-gg.lgp,C,-3,-3.0
repeat-ee.lgp,C,-3,-3.2
repeat-e.lgp,C,-3,-3.2
repeat-m.lgp,C,-3,-3.4
repeat-f.lgp,C,-2,-2.5
repeat-b.lgp,C,-2,-2.5
repeat-g.lgp,C,-2,-3.1
repeat-a.lgp,C,-3,-3.3
repeat-cc.lgp,CbCe,-3,-0.9000001
repeat-dd.lgp,CbCe,-2,-0.9000001
repeat-hh.lgp,CbCe,-3,-0.9000001
repeat-ii.lgp,CbCe,-3,-0.5
repeat-c.lgp,CbCe,-3,-0.29999995
repeat-ff.lgp,CbCe,-2,-1.0999999
doinorder-a.lgp,TbOe,-3,-2.3
doinorder-k.lgp,TbOe,-3,-2.9
doinorder-l.lgp,TbOe,-2,-2.3
doinorder-f.lgp,TbOe,-3,-2.3
doinorder-n.lgp,TbOe,-3,-2.2
doinorder-w.lgp,TbOe,-2,-2.2
doinorder-o.lgp,TbOe,-2,-1.4000001
doinorder-g.lgp,TbOe,-3,-1.5
doinorder-b.lgp,TbOe,-2,-1.4000001
doinorder-x.lgp,TbOe,-2,-3.1
doinorder-d.lgp,TbOe,-2,-2.4
doinorder-p.lgp,TbOe,-3,-3.1
doinorder-q.lgp,TbOe,-2,-2.3
doinorder-r.lgp,TbOe,-1,-2.2
doinorder-s.lgp,TbObTee,-3,-0.099999905
doinorder-y.lgp,TbOe,-2,-3.1
doinorder-z.lgp,TbObTee,5,-2.0
doinorder-j.lgp,TbObTee,-2,-2.1
doinorder-bb.lgp,TbObTee,-2,-2.1
doinorder-v.lgp,TbObTee,-3,-2.0
doinorder-h.lgp,TbObTee,-2,-2.1
doinorder-e.lgp,TbObTee,-3,-2.1
doinorder-cc.lgp,TbObTee,-2,-2.0
repeat-bb.lgp,CbTe/TbCe,-1,-1.5500001
