puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-2,-2.9
dotogether-o.lgp,T,-3,-2.5
dotogether-m.lgp,T,0,-3.3
dotogether-n.lgp,T,-1,-2.1
dotogether-a.lgp,T,-1,-2.3
dotogether-e.lgp,T,-1,-1.7
dotogether-l.lgp,T,-2,-2.0
dotogether-f.lgp,T,0,-2.5
dotogether-i.lgp,T,1,-1.4000001
dotogether-j.lgp,T,0,-1.4000001
dotogether-k.lgp,T,1,-1.4000001
dotogether-h.lgp,T,1,-1.4000001
repeat-gg.lgp,C,-1,-2.7
repeat-e.lgp,C,-1,-2.5
repeat-m.lgp,C,-2,-2.4
repeat-f.lgp,C,1,-1.5
repeat-b.lgp,C,1,-1.7
repeat-dd.lgp,CbCe,1,-2.3
repeat-cc.lgp,CbCe,1,-2.0
repeat-hh.lgp,CbCe,0,-1.9000001
repeat-c.lgp,CbCe,1,-2.2
repeat-ff.lgp,CbCe,1,-2.3
repeat-j.lgp,CbTe,-4,-3.0
repeat-n.lgp,CbTe,-1,-2.8
repeat-l.lgp,TbCe,0,0.8000002
repeat-x.lgp,TbCe,2,0.5999999
repeat-y.lgp,TbCe,5,2.8000002
repeat-q.lgp,TbCe,-1,3.0
repeat-p.lgp,TbCe,0,3.0
repeat-r.lgp,TbCe,2,2.6
repeat-z.lgp,CbTe/TbCe,0,0.049999952
repeat-aa.lgp,CbTe/TbCe,-1,0.5999999
doinorder-a.lgp,TbOe,1,0.3000002
doinorder-k.lgp,TbOe,-2,0.19999981
doinorder-f.lgp,TbOe,-2,0.099999905
doinorder-w.lgp,TbOe,0,2.1
doinorder-b.lgp,TbOe,5,1.3000002
doinorder-b.lgp,TbOe,0,1.3000002
doinorder-o.lgp,TbOe,1,1.0999999
doinorder-g.lgp,TbOe,0,2.0
doinorder-x.lgp,TbOe,-1,0.8000002
doinorder-q.lgp,TbOe,-2,0.5999999
doinorder-r.lgp,TbOe,1,0.9000001
doinorder-s.lgp,TbObTee,0,1.3000002
doinorder-y.lgp,TbOe,-1,-0.20000005
doinorder-m.lgp,TbObTee,3,-0.79999995
doinorder-u.lgp,TbObTee,2,1.6999998
doinorder-v.lgp,TbObTee,0,0.8000002
doinorder-bb.lgp,TbObTee,1,2.1
doinorder-e.lgp,TbObTee,-1,0.8000002
doinorder-h.lgp,TbObTee,5,2.0
doinorder-cc.lgp,TbObTee,1,2.9
repeat-t.lgp,CbTe/TbCe,1,0.29999995
repeat-u.lgp,TbObTee,0,2.9
repeat-bb.lgp,CbTe/TbCe,2,0.100000024
integrative-e.lgp,TbOe,1,-0.5
integrative-i.lgp,TbCOe,-2,-2.5
integrative-h.lgp,TbOe,-3,1.5999999
integrative-f.lgp,TbCOe,-2,-2.5
integrative-g.lgp,TbObCee,3,-2.6
integrative-a.lgp,TbCOe,0,-2.5
