puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-1,-1.4000001
dotogether-m.lgp,T,-3,-1.8
dotogether-b.lgp,T,-2,-2.1
dotogether-e.lgp,T,1,-2.2
dotogether-n.lgp,T,-2,-1.3
dotogether-c.lgp,T,0,-1.7
dotogether-o.lgp,T,5,-0.79999995
dotogether-d.lgp,T,-1,-0.5
dotogether-l.lgp,T,0,-1.2
dotogether-i.lgp,T,1,-0.5999999
dotogether-f.lgp,T,2,-0.70000005
dotogether-j.lgp,T,2,-0.5999999
dotogether-h.lgp,T,2,-0.79999995
repeat-ee.lgp,C,-3,-2.7
repeat-f.lgp,C,-2,-2.6
repeat-m.lgp,C,-1,-2.5
repeat-a.lgp,C,1,-2.8
repeat-b.lgp,C,1,-1.5999999
repeat-cc.lgp,CbCe,2,-0.70000005
repeat-dd.lgp,CbCe,5,1.9000001
repeat-e.lgp,C,0,-2.2
repeat-g.lgp,C,0,-2.2
repeat-ii.lgp,CbCe,2,0.5
repeat-hh.lgp,CbCe,0,0.5
repeat-dd.lgp,CbCe,5,1.9000001
repeat-c.lgp,CbCe,0,1.6999998
repeat-gg.lgp,C,-2,-1.7
repeat-ff.lgp,CbCe,3,1.3000002
repeat-i.lgp,CbTe,-2,-2.6
repeat-j.lgp,CbTe,-2,-2.0
repeat-o.lgp,CbTe,-1,-1.9000001
repeat-n.lgp,CbTe,-1,-1.0
repeat-q.lgp,TbCe,1,1.9000001
repeat-w.lgp,TbCe,0,2.4
repeat-l.lgp,TbCe,0,2.5
repeat-p.lgp,TbCe,5,2.0
repeat-y.lgp,TbCe,5,3.3000002
repeat-r.lgp,TbCe,5,2.9
repeat-p.lgp,TbCe,1,2.0
repeat-z.lgp,CbTe/TbCe,2,0.05000007
repeat-s.lgp,CbTe/TbCe,1,0.049999952
repeat-aa.lgp,CbTe/TbCe,2,0.39999998
doinorder-l.lgp,TbOe,-1,0.3000002
doinorder-a.lgp,TbOe,-1,0.19999981
doinorder-f.lgp,TbOe,-2,0.099999905
doinorder-b.lgp,TbOe,1,0.6999998
doinorder-o.lgp,TbOe,5,1.0
doinorder-w.lgp,TbOe,-1,0.3000002
doinorder-g.lgp,TbOe,-1,-0.099999905
doinorder-x.lgp,TbOe,5,1.4000001
doinorder-n.lgp,TbOe,0,0.8000002
doinorder-d.lgp,TbOe,-1,-0.29999995
doinorder-q.lgp,TbOe,5,1.0999999
doinorder-p.lgp,TbOe,-1,0.6999998
doinorder-q.lgp,TbOe,1,1.0999999
doinorder-y.lgp,TbOe,0,1.0999999
doinorder-s.lgp,TbObTee,0,1.4000001
doinorder-m.lgp,TbObTee,5,0.3000002
doinorder-o.lgp,TbOe,5,1.0
doinorder-o.lgp,TbOe,5,1.0
doinorder-x.lgp,TbOe,0,1.4000001
doinorder-z.lgp,TbObTee,5,1.0999999
doinorder-t.lgp,TbObTee,5,1.5
doinorder-o.lgp,TbOe,5,1.0
doinorder-t.lgp,TbObTee,5,1.5
