puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-3.1
dotogether-o.lgp,T,-3,-3.1
dotogether-n.lgp,T,-3,-3.3
dotogether-m.lgp,T,-2,-3.5
dotogether-b.lgp,T,-3,-3.1
dotogether-e.lgp,T,-1,-2.7
dotogether-c.lgp,T,-1,-2.8
dotogether-i.lgp,T,-2,-1.8
dotogether-d.lgp,T,-3,-2.6
dotogether-k.lgp,T,-3,-2.6
dotogether-l.lgp,T,-2,-3.5
dotogether-g.lgp,T,-3,-3.1
dotogether-h.lgp,T,0,-3.0
repeat-gg.lgp,C,-3,-2.9
repeat-e.lgp,C,-3,-3.1
repeat-f.lgp,C,-3,-2.8
repeat-m.lgp,C,-4,-3.0
repeat-b.lgp,C,-3,-2.7
repeat-g.lgp,C,-3,-3.3
repeat-dd.lgp,CbCe,-1,-0.9000001
repeat-hh.lgp,CbCe,-1,-1.3
repeat-c.lgp,CbCe,2,-2.0
repeat-cc.lgp,CbCe,-2,0.099999905
repeat-ff.lgp,CbCe,2,0.8000002
repeat-j.lgp,CbTe,0,-2.1
repeat-o.lgp,CbTe,0,-1.9000001
repeat-i.lgp,CbTe,4,-2.0
repeat-n.lgp,CbTe,0,-2.2
repeat-x.lgp,TbCe,-2,-0.79999995
repeat-w.lgp,TbCe,-2,-0.70000005
repeat-q.lgp,TbCe,-1,-1.3
repeat-p.lgp,TbCe,-2,-1.0999999
repeat-r.lgp,TbCe,-3,-0.5999999
repeat-z.lgp,CbTe/TbCe,-2,-1.5500001
