puzzle,model,cogLoad,predicted
dotogether-o.lgp,T,-1,-2.5
dotogether-m.lgp,T,-4,-2.2
dotogether-a.lgp,T,-4,-3.2
dotogether-e.lgp,T,0,-0.20000005
dotogether-b.lgp,T,-4,-0.70000005
dotogether-n.lgp,T,-3,-0.5999999
dotogether-c.lgp,T,-2,-0.79999995
dotogether-d.lgp,T,-4,-2.0
dotogether-f.lgp,T,-3,-1.8
dotogether-i.lgp,T,-2,-1.7
dotogether-k.lgp,T,0,-0.5999999
dotogether-g.lgp,T,-3,-1.2
dotogether-j.lgp,T,-1,-0.29999995
dotogether-l.lgp,T,-2,-0.9000001
dotogether-h.lgp,T,0,-0.29999995
repeat-e.lgp,C,-3,-2.6
repeat-m.lgp,C,-3,-2.6
repeat-f.lgp,C,-4,-2.5
repeat-gg.lgp,C,-2,-3.4
repeat-a.lgp,C,-3,-3.2
repeat-g.lgp,C,-3,-2.9
repeat-dd.lgp,CbCe,2,-0.79999995
repeat-hh.lgp,CbCe,-2,0.19999981
repeat-c.lgp,CbCe,-2,0.099999905
repeat-ii.lgp,CbCe,-4,0.6999998
repeat-ee.lgp,C,-2,-2.0
repeat-cc.lgp,CbCe,-1,-0.099999905
repeat-ff.lgp,CbCe,0,-0.4000001
repeat-o.lgp,CbTe,-2,-2.4
repeat-n.lgp,CbTe,0,-2.6
repeat-i.lgp,CbTe,-1,-1.8
repeat-l.lgp,TbCe,-2,0.9000001
repeat-x.lgp,TbCe,5,0.5
repeat-j.lgp,CbTe,-2,-1.3
repeat-q.lgp,TbCe,5,0.8000002
repeat-w.lgp,TbCe,-4,2.5
repeat-q.lgp,TbCe,-1,0.8000002
repeat-y.lgp,TbCe,-2,0.6999998
repeat-r.lgp,TbCe,1,1.1999998
repeat-z.lgp,CbTe/TbCe,1,-0.60000014
repeat-aa.lgp,CbTe/TbCe,0,-0.9000001
doinorder-n.lgp,TbOe,-2,-0.4000001
doinorder-a.lgp,TbOe,-1,-0.099999905
doinorder-w.lgp,TbOe,-3,-1.5
doinorder-g.lgp,TbOe,-2,-1.5
doinorder-f.lgp,TbOe,-3,-1.8
doinorder-b.lgp,TbOe,0,-0.9000001
doinorder-x.lgp,TbOe,5,-0.79999995
doinorder-q.lgp,TbOe,5,0.0
doinorder-o.lgp,TbOe,5,1.6999998
doinorder-l.lgp,TbOe,-4,-2.2
doinorder-d.lgp,TbOe,5,-2.1
doinorder-q.lgp,TbOe,5,0.0
doinorder-q.lgp,TbOe,5,0.0
doinorder-o.lgp,TbOe,0,1.6999998
doinorder-p.lgp,TbOe,1,-1.7
doinorder-d.lgp,TbOe,-1,-2.1
doinorder-y.lgp,TbOe,-1,-0.5999999
doinorder-s.lgp,TbObTee,-1,0.3000002
doinorder-r.lgp,TbOe,-1,-0.5999999
doinorder-m.lgp,TbObTee,5,1.8000002
doinorder-x.lgp,TbOe,5,-0.79999995
doinorder-q.lgp,TbOe,5,0.0
doinorder-x.lgp,TbOe,-1,-0.79999995
doinorder-z.lgp,TbObTee,0,2.6
doinorder-u.lgp,TbObTee,-4,1.5999999
doinorder-v.lgp,TbObTee,-1,0.099999905
doinorder-bb.lgp,TbObTee,-1,1.0
doinorder-e.lgp,TbObTee,-1,0.5
doinorder-cc.lgp,TbObTee,-3,0.099999905
doinorder-h.lgp,TbObTee,5,1.5999999
doinorder-j.lgp,TbObTee,1,1.0
repeat-bb.lgp,CbTe/TbCe,4,-0.8499999
repeat-t.lgp,CbTe/TbCe,1,-0.6999999
integrative-e.lgp,TbOe,0,-1.2
integrative-b.lgp,TbOe,-2,-0.70000005
repeat-u.lgp,TbObTee,2,-0.5999999
integrative-c.lgp,TbOe,0,1.5999999
integrative-h.lgp,TbOe,0,-1.5999999
