puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-3,-3.2
dotogether-o.lgp,T,-3,-2.9
dotogether-m.lgp,T,-3,-3.2
dotogether-n.lgp,T,-4,-3.4
dotogether-a.lgp,T,-4,-3.7
dotogether-e.lgp,T,-4,-3.5
dotogether-c.lgp,T,-3,-3.5
dotogether-i.lgp,T,0,-3.1
dotogether-f.lgp,T,-3,-2.9
dotogether-k.lgp,T,-2,-2.5
dotogether-l.lgp,T,-2,-2.8
dotogether-h.lgp,T,-2,-2.8
repeat-ee.lgp,C,-4,-2.9
repeat-m.lgp,C,-3,-3.4
repeat-e.lgp,C,-3,-3.4
repeat-a.lgp,C,-3,-3.5
repeat-b.lgp,C,-4,-3.2
repeat-g.lgp,C,-4,-3.3
repeat-cc.lgp,CbCe,-2,-1.0999999
repeat-ii.lgp,CbCe,-2,-1.0
repeat-dd.lgp,CbCe,-3,-2.0
repeat-ff.lgp,CbCe,-3,-1.0999999
repeat-o.lgp,CbTe,-2,-2.7
repeat-n.lgp,CbTe,-3,-2.9
repeat-x.lgp,TbCe,-3,-1.5999999
repeat-q.lgp,TbCe,-2,-2.4
repeat-w.lgp,TbCe,-3,-2.6
repeat-l.lgp,TbCe,-3,-2.5
repeat-y.lgp,TbCe,-3,-1.9000001
repeat-s.lgp,CbTe/TbCe,-1,-2.55
repeat-r.lgp,TbCe,-3,-1.9000001
repeat-aa.lgp,CbTe/TbCe,-3,-2.55
doinorder-n.lgp,TbOe,-3,-3.1
doinorder-f.lgp,TbOe,-3,-3.2
doinorder-k.lgp,TbOe,-3,-3.2
doinorder-g.lgp,TbOe,-3,-2.2
doinorder-b.lgp,TbOe,-2,-1.4000001
doinorder-o.lgp,TbOe,-1,-2.9
doinorder-w.lgp,TbOe,-1,-1.5
doinorder-x.lgp,TbOe,5,-1.8
doinorder-q.lgp,TbOe,0,-2.4
doinorder-p.lgp,TbOe,-3,-2.5
doinorder-y.lgp,TbOe,-3,-1.4000001
doinorder-s.lgp,TbObTee,0,-1.0999999
doinorder-r.lgp,TbOe,-3,-2.2
doinorder-m.lgp,TbObTee,5,0.3000002
doinorder-d.lgp,TbOe,-1,-2.7
doinorder-t.lgp,TbObTee,5,0.9000001
doinorder-z.lgp,TbObTee,5,1.0999999
doinorder-x.lgp,TbOe,-2,-1.8
doinorder-t.lgp,TbObTee,-2,0.9000001
doinorder-u.lgp,TbObTee,-2,0.099999905
doinorder-j.lgp,TbObTee,-2,-1.4000001
doinorder-cc.lgp,TbObTee,-3,-1.4000001
doinorder-e.lgp,TbObTee,-3,-0.79999995
doinorder-h.lgp,TbObTee,-3,-1.2
doinorder-bb.lgp,TbObTee,-3,-0.5999999
repeat-bb.lgp,CbTe/TbCe,-3,-2.1
repeat-t.lgp,CbTe/TbCe,-1,-2.45
integrative-e.lgp,TbOe,-2,-2.8
integrative-h.lgp,TbOe,-1,-2.8
integrative-i.lgp,TbCOe,-3,-2.5
integrative-c.lgp,TbOe,-3,-2.7
integrative-a.lgp,TbCOe,-3,-2.5
integrative-d.lgp,TbCObTee,5,5.0
integrative-f.lgp,TbCOe,1,-2.5
integrative-d.lgp,TbCObTee,5,5.0
