puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-2,-2.9
dotogether-o.lgp,T,1,-2.2
dotogether-m.lgp,T,0,-1.5999999
dotogether-n.lgp,T,-3,-1.7
dotogether-a.lgp,T,-2,-2.1
dotogether-e.lgp,T,0,-1.9000001
dotogether-l.lgp,T,-2,-2.1
dotogether-f.lgp,T,0,-2.5
dotogether-i.lgp,T,1,-1.4000001
dotogether-c.lgp,T,1,-1.8
dotogether-k.lgp,T,2,-1.4000001
dotogether-g.lgp,T,0,-1.4000001
dotogether-h.lgp,T,1,-1.5
repeat-gg.lgp,C,-3,-2.5
repeat-e.lgp,C,-3,-2.7
repeat-m.lgp,C,-2,-2.7
repeat-a.lgp,C,-1,-2.9
repeat-g.lgp,C,-1,-2.8
repeat-dd.lgp,CbCe,1,-1.0
repeat-cc.lgp,CbCe,0,-0.4000001
repeat-hh.lgp,CbCe,1,-1.2
repeat-ff.lgp,CbCe,-2,-1.0
repeat-i.lgp,CbTe,-3,-2.5
repeat-o.lgp,CbTe,-2,-1.5999999
repeat-j.lgp,CbTe,-2,-1.7
repeat-n.lgp,CbTe,-1,-1.8
repeat-w.lgp,TbCe,1,0.5
repeat-l.lgp,TbCe,0,0.3000002
repeat-q.lgp,TbCe,0,1.3000002
repeat-y.lgp,TbCe,1,1.3000002
doinorder-f.lgp,TbOe,-2,-0.9000001
doinorder-k.lgp,TbOe,-3,-1.7
doinorder-g.lgp,TbOe,-2,0.5999999
doinorder-b.lgp,TbOe,2,1.6999998
doinorder-o.lgp,TbOe,2,1.1999998
doinorder-w.lgp,TbOe,-1,0.0
doinorder-x.lgp,TbOe,0,0.5
doinorder-r.lgp,TbOe,0,0.3000002
doinorder-s.lgp,TbObTee,0,2.1
doinorder-y.lgp,TbOe,1,-0.099999905
doinorder-m.lgp,TbObTee,5,1.4000001
doinorder-t.lgp,TbObTee,-1,2.9
doinorder-u.lgp,TbObTee,-2,0.8000002
doinorder-j.lgp,TbObTee,0,0.8000002
doinorder-bb.lgp,TbObTee,3,1.3000002
doinorder-cc.lgp,TbObTee,-1,1.3000002
doinorder-h.lgp,TbObTee,0,0.8000002
repeat-t.lgp,CbTe/TbCe,0,-1.0
repeat-u.lgp,TbObTee,0,0.099999905
repeat-bb.lgp,CbTe/TbCe,0,-0.60000014
integrative-h.lgp,TbOe,-1,-0.20000005
integrative-i.lgp,TbCOe,0,-2.5
integrative-f.lgp,TbCOe,-3,-2.5
integrative-c.lgp,TbOe,0,0.3000002
integrative-a.lgp,TbCOe,1,-2.5
