puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-3,-3.0
dotogether-o.lgp,T,-1,-3.0
dotogether-m.lgp,T,-2,-3.0
dotogether-n.lgp,T,-1,-3.1
dotogether-a.lgp,T,-2,-1.3
dotogether-e.lgp,T,-1,-1.0
dotogether-c.lgp,T,1,-1.5999999
dotogether-i.lgp,T,2,-0.5
dotogether-l.lgp,T,2,-1.5
dotogether-f.lgp,T,3,-1.5999999
dotogether-d.lgp,T,-2,-1.5999999
dotogether-j.lgp,T,2,-1.5
dotogether-g.lgp,T,0,-1.5
dotogether-h.lgp,T,2,-1.5
repeat-ee.lgp,C,-4,-2.6
repeat-f.lgp,C,-2,-2.8
repeat-e.lgp,C,-3,-2.7
repeat-b.lgp,C,5,-1.8
repeat-m.lgp,C,-1,-2.7
repeat-g.lgp,C,1,-1.7
repeat-a.lgp,C,0,-2.4
repeat-dd.lgp,CbCe,5,2.1999998
repeat-b.lgp,C,5,-1.8
repeat-gg.lgp,C,-2,-2.2
repeat-cc.lgp,CbCe,5,3.1
repeat-dd.lgp,CbCe,4,2.1999998
repeat-hh.lgp,CbCe,0,2.1999998
repeat-c.lgp,CbCe,3,2.6999998
repeat-ii.lgp,CbCe,1,2.5
repeat-ff.lgp,CbCe,1,2.9
repeat-i.lgp,CbTe,-2,-2.2
repeat-n.lgp,CbTe,-1,-2.4
repeat-l.lgp,TbCe,5,1.3000002
repeat-w.lgp,TbCe,5,1.1999998
repeat-o.lgp,CbTe,-2,-2.4
repeat-x.lgp,TbCe,0,1.5
repeat-l.lgp,TbCe,4,1.3000002
repeat-y.lgp,TbCe,5,2.4
repeat-q.lgp,TbCe,5,1.3000002
repeat-j.lgp,CbTe,-1,-1.9000001
repeat-w.lgp,TbCe,-2,1.1999998
repeat-p.lgp,TbCe,1,2.6999998
repeat-r.lgp,TbCe,5,0.6999998
repeat-q.lgp,TbCe,-2,1.3000002
repeat-z.lgp,CbTe/TbCe,1,-0.6
repeat-s.lgp,CbTe/TbCe,5,-0.75
repeat-r.lgp,TbCe,1,0.6999998
repeat-aa.lgp,CbTe/TbCe,0,-0.5999999
doinorder-n.lgp,TbOe,-2,1.5999999
doinorder-k.lgp,TbOe,-2,-0.5
doinorder-f.lgp,TbOe,-3,-0.29999995
doinorder-g.lgp,TbOe,-1,0.3000002
doinorder-b.lgp,TbOe,1,1.3000002
doinorder-o.lgp,TbOe,5,0.9000001
doinorder-l.lgp,TbOe,-3,0.5
doinorder-w.lgp,TbOe,-1,1.4000001
doinorder-x.lgp,TbOe,1,2.5
doinorder-q.lgp,TbOe,1,1.3000002
doinorder-d.lgp,TbOe,5,2.1
doinorder-d.lgp,TbOe,5,2.1
doinorder-a.lgp,TbOe,-2,0.5999999
doinorder-p.lgp,TbOe,3,-0.20000005
doinorder-r.lgp,TbOe,1,1.5999999
doinorder-y.lgp,TbOe,-2,1.0999999
doinorder-s.lgp,TbObTee,0,2.8000002
doinorder-z.lgp,TbObTee,-2,1.1999998
doinorder-t.lgp,TbObTee,-1,0.6999998
doinorder-u.lgp,TbObTee,1,-0.099999905
doinorder-v.lgp,TbObTee,-2,1.0999999
doinorder-bb.lgp,TbObTee,5,0.5999999
doinorder-h.lgp,TbObTee,1,1.5
doinorder-cc.lgp,TbObTee,5,3.4
doinorder-j.lgp,TbObTee,-1,1.5
doinorder-e.lgp,TbObTee,-2,1.5999999
repeat-t.lgp,CbTe/TbCe,1,-0.44999993
