puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-4,-3.0
dotogether-o.lgp,T,-3,-2.9
dotogether-a.lgp,T,-3,-3.1
dotogether-e.lgp,T,-1,-2.9
dotogether-d.lgp,T,-3,-3.1
dotogether-i.lgp,T,0,-3.0
dotogether-f.lgp,T,1,-2.4
dotogether-g.lgp,T,-3,-2.0
dotogether-j.lgp,T,-1,-2.1
dotogether-h.lgp,T,5,0.099999905
dotogether-k.lgp,T,-3,-0.099999905
dotogether-h.lgp,T,-3,0.099999905
repeat-e.lgp,C,1,-2.7
repeat-f.lgp,C,-2,-2.6
repeat-m.lgp,C,-2,-2.5
repeat-g.lgp,C,-2,-2.0
repeat-cc.lgp,CbCe,-2,-0.79999995
repeat-dd.lgp,CbCe,-3,-0.9000001
repeat-c.lgp,CbCe,-2,-0.29999995
repeat-ff.lgp,CbCe,-4,-0.29999995
repeat-j.lgp,CbTe,-3,-2.9
repeat-n.lgp,CbTe,0,-2.8
repeat-l.lgp,TbCe,1,-1.7
repeat-x.lgp,TbCe,-1,-0.5999999
repeat-y.lgp,TbCe,0,-1.0
repeat-r.lgp,TbCe,-3,0.0
repeat-z.lgp,CbTe/TbCe,-3,-1.25
repeat-aa.lgp,CbTe/TbCe,-3,-1.65
doinorder-a.lgp,TbOe,-2,-0.5999999
doinorder-f.lgp,TbOe,-4,-1.3
doinorder-k.lgp,TbOe,-4,-1.3
doinorder-w.lgp,TbOe,-3,-1.5999999
doinorder-b.lgp,TbOe,-2,-0.9000001
doinorder-x.lgp,TbOe,1,-2.4
doinorder-o.lgp,TbOe,0,-0.5
doinorder-p.lgp,TbOe,-3,-1.5999999
doinorder-r.lgp,TbOe,-2,0.5999999
doinorder-s.lgp,TbObTee,1,0.4000001
doinorder-q.lgp,TbOe,-2,-1.0
doinorder-z.lgp,TbObTee,-4,-0.20000005
doinorder-t.lgp,TbObTee,-3,-1.7
doinorder-u.lgp,TbObTee,0,-2.5
doinorder-j.lgp,TbObTee,-2,-0.5
doinorder-h.lgp,TbObTee,1,0.4000001
doinorder-bb.lgp,TbObTee,-3,0.4000001
doinorder-e.lgp,TbObTee,-4,-0.79999995
repeat-t.lgp,CbTe/TbCe,-3,-1.5
repeat-bb.lgp,CbTe/TbCe,-3,-1.3
integrative-h.lgp,TbOe,-4,-1.3
integrative-b.lgp,TbOe,-4,-2.8
integrative-e.lgp,TbOe,-3,-2.8
integrative-c.lgp,TbOe,-3,-0.5999999
integrative-g.lgp,TbObCee,-2,-2.6
integrative-a.lgp,TbCOe,1,-2.5
