puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,0,-2.6
dotogether-n.lgp,T,-4,-0.5999999
dotogether-m.lgp,T,-3,-1.3
dotogether-e.lgp,T,-2,-1.5
dotogether-c.lgp,T,-1,-2.9
dotogether-o.lgp,T,0,-2.3
dotogether-l.lgp,T,-3,-1.2
dotogether-d.lgp,T,-3,-1.3
dotogether-i.lgp,T,-2,-1.4000001
dotogether-f.lgp,T,-3,-2.7
dotogether-g.lgp,T,0,-2.5
dotogether-k.lgp,T,1,-0.79999995
dotogether-h.lgp,T,2,-0.70000005
repeat-gg.lgp,C,-3,-2.6
repeat-ee.lgp,C,-4,-2.8
repeat-m.lgp,C,-3,-3.0
repeat-e.lgp,C,-2,-3.7
repeat-f.lgp,C,-1,-3.0
repeat-b.lgp,C,0,-1.8
repeat-g.lgp,C,-3,-2.2
repeat-a.lgp,C,-2,-2.8
repeat-cc.lgp,CbCe,-1,0.099999905
repeat-dd.lgp,CbCe,1,-0.5
repeat-c.lgp,CbCe,1,1.0999999
repeat-hh.lgp,CbCe,2,1.1999998
repeat-ii.lgp,CbCe,4,0.5999999
repeat-ff.lgp,CbCe,-2,0.5999999
repeat-o.lgp,CbTe,-2,-2.1
repeat-i.lgp,CbTe,-2,-2.3
repeat-j.lgp,CbTe,-2,-1.7
repeat-n.lgp,CbTe,-2,-1.0999999
repeat-x.lgp,TbCe,-1,-0.5
repeat-q.lgp,TbCe,5,-1.0999999
repeat-l.lgp,TbCe,-4,0.9000001
repeat-y.lgp,TbCe,-1,1.0999999
repeat-r.lgp,TbCe,1,-0.70000005
repeat-p.lgp,TbCe,-3,-1.3
repeat-z.lgp,CbTe/TbCe,-1,-1.0
repeat-aa.lgp,CbTe/TbCe,-3,-0.9000001
doinorder-l.lgp,TbOe,5,-1.2
doinorder-l.lgp,TbOe,-2,-1.2
doinorder-k.lgp,TbOe,-4,-2.1
doinorder-f.lgp,TbOe,-2,-2.0
doinorder-g.lgp,TbOe,-3,-1.5
doinorder-b.lgp,TbOe,-2,-2.0
doinorder-o.lgp,TbOe,-1,-1.8
doinorder-w.lgp,TbOe,-3,-0.79999995
doinorder-x.lgp,TbOe,-3,-1.8
doinorder-d.lgp,TbOe,-4,-2.4
doinorder-r.lgp,TbOe,3,-2.7
doinorder-s.lgp,TbObTee,-2,1.9000001
doinorder-y.lgp,TbOe,-3,-2.1
