puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-2,-3.1
dotogether-m.lgp,T,-1,-2.2
dotogether-n.lgp,T,-3,-2.5
dotogether-e.lgp,T,1,-2.3
dotogether-c.lgp,T,1,-1.7
dotogether-d.lgp,T,-1,-1.8
dotogether-i.lgp,T,-2,-1.8
dotogether-k.lgp,T,2,-1.4000001
dotogether-l.lgp,T,-1,-0.20000005
dotogether-f.lgp,T,0,-0.5999999
dotogether-h.lgp,T,-2,-0.099999905
repeat-ee.lgp,C,-4,-1.5
repeat-f.lgp,C,5,-1.5999999
repeat-gg.lgp,C,-2,-2.1
repeat-a.lgp,C,-1,-2.0
repeat-e.lgp,C,-1,-1.5999999
repeat-f.lgp,C,0,-1.5999999
repeat-g.lgp,C,-1,-0.79999995
repeat-b.lgp,C,-1,-0.79999995
repeat-cc.lgp,CbCe,5,1.6999998
repeat-dd.lgp,CbCe,5,2.6
repeat-c.lgp,CbCe,0,2.6
repeat-hh.lgp,CbCe,0,2.0
repeat-ii.lgp,CbCe,0,1.5
repeat-ff.lgp,CbCe,0,2.1999998
repeat-i.lgp,CbTe,-2,-1.5999999
repeat-n.lgp,CbTe,0,-2.0
repeat-l.lgp,TbCe,5,-0.9000001
repeat-j.lgp,CbTe,0,-1.7
repeat-x.lgp,TbCe,-1,-0.9000001
repeat-w.lgp,TbCe,5,-0.4000001
repeat-o.lgp,CbTe,-2,-1.5999999
repeat-q.lgp,TbCe,-2,0.5
repeat-y.lgp,TbCe,-1,0.9000001
repeat-r.lgp,TbCe,-2,-0.5999999
repeat-p.lgp,TbCe,5,-1.7
repeat-w.lgp,TbCe,-1,-0.4000001
repeat-s.lgp,CbTe/TbCe,-1,-1.0
repeat-z.lgp,CbTe/TbCe,5,-1.3
