puzzle,model,cogLoad,predicted
dotogether-o.lgp,T,-1,-2.9
dotogether-n.lgp,T,-3,-1.5999999
dotogether-m.lgp,T,-3,-0.20000005
dotogether-a.lgp,T,-3,-1.2
dotogether-e.lgp,T,-3,-2.0
dotogether-c.lgp,T,-2,-2.2
dotogether-d.lgp,T,-3,-2.2
dotogether-i.lgp,T,-2,-1.7
dotogether-l.lgp,T,-3,-1.5
dotogether-f.lgp,T,-2,-0.9000001
dotogether-b.lgp,T,-3,-1.4000001
dotogether-k.lgp,T,-3,-1.2
repeat-ee.lgp,C,-3,-2.8
repeat-gg.lgp,C,-3,-3.0
repeat-m.lgp,C,-3,-2.8
repeat-e.lgp,C,-3,-3.2
repeat-a.lgp,C,-2,-3.1
repeat-f.lgp,C,5,-1.9000001
repeat-g.lgp,C,-2,-1.9000001
repeat-dd.lgp,CbCe,5,3.0
repeat-b.lgp,C,5,-1.5999999
repeat-b.lgp,C,-2,-1.5999999
repeat-cc.lgp,CbCe,-2,3.9
repeat-hh.lgp,CbCe,5,3.0
repeat-dd.lgp,CbCe,5,3.0
repeat-hh.lgp,CbCe,5,3.0
repeat-f.lgp,C,5,-1.9000001
repeat-dd.lgp,CbCe,5,3.0
repeat-f.lgp,C,-2,-1.9000001
repeat-ii.lgp,CbCe,5,2.6999998
repeat-hh.lgp,CbCe,-2,3.0
repeat-dd.lgp,CbCe,5,3.0
repeat-c.lgp,CbCe,-3,2.4
repeat-ff.lgp,CbCe,5,3.1999998
repeat-dd.lgp,CbCe,5,3.0
repeat-ff.lgp,CbCe,5,3.1999998
