puzzle,model,cogLoad,predicted
dotogether-o.lgp,T,-1,-2.2
dotogether-a.lgp,T,-4,-3.2
dotogether-n.lgp,T,-4,-3.6
dotogether-m.lgp,T,-4,-3.6
dotogether-e.lgp,T,-2,-3.5
dotogether-c.lgp,T,-3,-3.1
dotogether-d.lgp,T,-3,-2.8
dotogether-i.lgp,T,-3,-2.7
dotogether-l.lgp,T,-3,-3.6
dotogether-j.lgp,T,-2,-2.8
dotogether-f.lgp,T,-2,-3.2
dotogether-g.lgp,T,-2,-3.2
dotogether-b.lgp,T,-4,-3.0
dotogether-k.lgp,T,-1,-3.0
dotogether-h.lgp,T,-3,-2.6
repeat-ee.lgp,C,-4,-3.3
repeat-gg.lgp,C,-3,-3.3
repeat-m.lgp,C,-3,-3.5
repeat-e.lgp,C,-3,-3.7
repeat-a.lgp,C,-2,-3.4
repeat-f.lgp,C,-2,-3.2
repeat-b.lgp,C,-3,-2.2
repeat-g.lgp,C,-3,-3.2
repeat-dd.lgp,CbCe,-1,-1.5999999
repeat-c.lgp,CbCe,-3,-1.7
repeat-cc.lgp,CbCe,-3,-1.8
repeat-hh.lgp,CbCe,-3,-1.5999999
repeat-ii.lgp,CbCe,-3,-2.1
repeat-ff.lgp,CbCe,-4,-1.9000001
repeat-i.lgp,CbTe,-3,-3.0
repeat-o.lgp,CbTe,-3,-3.3
repeat-j.lgp,CbTe,-3,-3.3
repeat-n.lgp,CbTe,-2,-1.0999999
repeat-w.lgp,TbCe,5,0.0
repeat-l.lgp,TbCe,5,-0.20000005
repeat-w.lgp,TbCe,5,0.0
repeat-x.lgp,TbCe,-1,-0.4000001
repeat-w.lgp,TbCe,-1,0.0
repeat-l.lgp,TbCe,-3,-0.20000005
repeat-q.lgp,TbCe,-2,-1.0999999
repeat-p.lgp,TbCe,-2,-0.5999999
repeat-y.lgp,TbCe,-2,-0.5999999
repeat-r.lgp,TbCe,-2,-0.5
repeat-s.lgp,CbTe/TbCe,-2,-0.70000005
repeat-z.lgp,CbTe/TbCe,-1,-0.85
repeat-aa.lgp,CbTe/TbCe,-2,-1.4
doinorder-a.lgp,TbOe,-3,-1.5999999
doinorder-k.lgp,TbOe,-3,-3.0
doinorder-l.lgp,TbOe,-3,-2.2
doinorder-n.lgp,TbOe,5,-1.5
doinorder-f.lgp,TbOe,-4,-2.1
doinorder-b.lgp,TbOe,-3,-1.0999999
doinorder-o.lgp,TbOe,5,-0.29999995
doinorder-w.lgp,TbOe,-3,-1.9000001
