puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-3,-3.5
dotogether-a.lgp,T,-3,-3.2
dotogether-o.lgp,T,1,-3.1
dotogether-n.lgp,T,-1,-2.1
dotogether-m.lgp,T,-3,-1.8
dotogether-c.lgp,T,2,-2.1
dotogether-e.lgp,T,-3,-0.70000005
dotogether-d.lgp,T,-2,-2.2
dotogether-f.lgp,T,-2,-2.3
dotogether-l.lgp,T,-3,-2.7
dotogether-i.lgp,T,-2,-2.1
dotogether-k.lgp,T,-2,-2.4
dotogether-j.lgp,T,-2,-2.4
dotogether-g.lgp,T,-2,-2.5
dotogether-h.lgp,T,-2,-2.0
repeat-gg.lgp,C,-3,-3.2
repeat-ee.lgp,C,-3,-3.2
repeat-e.lgp,C,-1,-3.2
repeat-f.lgp,C,-3,-3.3
repeat-m.lgp,C,-3,-3.4
repeat-a.lgp,C,-3,-3.4
repeat-b.lgp,C,-3,-3.1
repeat-g.lgp,C,-3,-3.2
repeat-dd.lgp,CbCe,-1,-1.4000001
repeat-cc.lgp,CbCe,-2,-2.0
repeat-hh.lgp,CbCe,-2,-1.5
repeat-ii.lgp,CbCe,0,-1.2
repeat-c.lgp,CbCe,-1,-1.5
repeat-ff.lgp,CbCe,-2,-1.7
repeat-j.lgp,CbTe,-3,-2.8
repeat-o.lgp,CbTe,-3,-2.7
repeat-i.lgp,CbTe,-3,-3.1
repeat-n.lgp,CbTe,-3,-2.8
repeat-w.lgp,TbCe,1,-0.29999995
repeat-q.lgp,TbCe,-2,-1.0999999
repeat-l.lgp,TbCe,-2,-0.79999995
repeat-x.lgp,TbCe,-2,-1.0999999
repeat-p.lgp,TbCe,-2,-0.4000001
repeat-y.lgp,TbCe,-2,-0.5999999
repeat-r.lgp,TbCe,5,1.0
repeat-r.lgp,TbCe,1,1.0
repeat-s.lgp,CbTe/TbCe,1,-0.100000024
repeat-z.lgp,CbTe/TbCe,1,-0.85
repeat-aa.lgp,CbTe/TbCe,1,-0.65
doinorder-l.lgp,TbOe,-3,-1.2
doinorder-a.lgp,TbOe,-3,-1.4000001
doinorder-k.lgp,TbOe,-3,-2.0
doinorder-f.lgp,TbOe,-3,-2.1
doinorder-w.lgp,TbOe,-3,-1.3
doinorder-n.lgp,TbOe,-3,-1.3
doinorder-b.lgp,TbOe,-3,-0.5999999
doinorder-o.lgp,TbOe,-3,-0.5999999
doinorder-g.lgp,TbOe,-3,-1.5999999
doinorder-x.lgp,TbOe,1,-1.9000001
doinorder-p.lgp,TbOe,-3,-1.3
doinorder-d.lgp,TbOe,-3,-1.0999999
doinorder-q.lgp,TbOe,-3,-0.29999995
doinorder-r.lgp,TbOe,5,-1.0999999
doinorder-r.lgp,TbOe,-1,-1.0999999
doinorder-s.lgp,TbObTee,-3,-0.20000005
doinorder-y.lgp,TbOe,-3,-2.2
doinorder-m.lgp,TbObTee,-2,-2.4
doinorder-t.lgp,TbObTee,-3,-0.4000001
doinorder-z.lgp,TbObTee,-2,-2.3
doinorder-u.lgp,TbObTee,-2,0.3000002
doinorder-j.lgp,TbObTee,-2,-1.0999999
doinorder-h.lgp,TbObTee,-3,-0.29999995
doinorder-v.lgp,TbObTee,-3,-0.29999995
doinorder-cc.lgp,TbObTee,0,-1.4000001
doinorder-bb.lgp,TbObTee,-3,-1.2
doinorder-e.lgp,TbObTee,-3,-2.5
repeat-u.lgp,TbObTee,-2,-2.4
repeat-bb.lgp,CbTe/TbCe,-3,-2.0500002
repeat-t.lgp,CbTe/TbCe,-2,-2.0
integrative-b.lgp,TbOe,-3,-1.2
integrative-h.lgp,TbOe,-2,-1.7
integrative-e.lgp,TbOe,-3,-1.9000001
integrative-c.lgp,TbOe,-2,-0.79999995
integrative-i.lgp,TbCOe,-2,-2.5
integrative-f.lgp,TbCOe,-2,-2.5
integrative-a.lgp,TbCOe,-3,-2.5
integrative-g.lgp,TbObCee,-2,-2.6
