puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-4,-2.9
dotogether-o.lgp,T,1,-3.0
dotogether-m.lgp,T,-3,-2.3
dotogether-n.lgp,T,-4,-3.2
dotogether-e.lgp,T,-3,-2.8
dotogether-c.lgp,T,-4,-3.5
dotogether-l.lgp,T,-4,-3.8
dotogether-f.lgp,T,-3,-3.2
dotogether-j.lgp,T,-2,-3.3
dotogether-k.lgp,T,-2,-3.1
dotogether-h.lgp,T,0,-3.0
repeat-gg.lgp,C,-3,-2.8
repeat-e.lgp,C,-3,-2.9
repeat-m.lgp,C,-4,-3.2
repeat-a.lgp,C,-4,-3.7
repeat-g.lgp,C,-2,-3.5
repeat-dd.lgp,CbCe,5,3.4
repeat-b.lgp,C,-2,-2.9
repeat-cc.lgp,CbCe,-1,3.6
repeat-dd.lgp,CbCe,5,3.4
repeat-hh.lgp,CbCe,-1,3.1999998
repeat-c.lgp,CbCe,-2,1.3000002
repeat-ff.lgp,CbCe,-3,2.1999998
repeat-o.lgp,CbTe,-4,-2.5
repeat-j.lgp,CbTe,-2,-2.7
repeat-w.lgp,TbCe,-1,-0.4000001
repeat-q.lgp,TbCe,-2,-0.5
repeat-x.lgp,TbCe,-3,-0.9000001
repeat-y.lgp,TbCe,5,0.4000001
repeat-l.lgp,TbCe,-4,1.4000001
repeat-y.lgp,TbCe,-3,0.4000001
repeat-p.lgp,TbCe,-2,0.6999998
repeat-z.lgp,CbTe/TbCe,-1,-1.9
repeat-aa.lgp,CbTe/TbCe,-1,-1.95
doinorder-a.lgp,TbOe,1,-0.70000005
doinorder-k.lgp,TbOe,-2,-0.29999995
doinorder-f.lgp,TbOe,-3,-1.0
doinorder-w.lgp,TbOe,-2,-1.7
doinorder-b.lgp,TbOe,-2,0.5
doinorder-o.lgp,TbOe,0,0.5
doinorder-g.lgp,TbOe,-2,-1.0
doinorder-x.lgp,TbOe,-3,-1.8
doinorder-q.lgp,TbOe,-2,0.4000001
doinorder-d.lgp,TbOe,-2,-1.0999999
doinorder-s.lgp,TbObTee,-2,-2.4
doinorder-r.lgp,TbOe,-2,-1.7
doinorder-y.lgp,TbOe,-3,-1.7
doinorder-z.lgp,TbObTee,-3,-2.3
doinorder-u.lgp,TbObTee,-2,-2.3
doinorder-bb.lgp,TbObTee,-2,-2.3
doinorder-e.lgp,TbObTee,-3,-2.5
doinorder-h.lgp,TbObTee,-2,-2.4
doinorder-j.lgp,TbObTee,-2,-2.4
repeat-t.lgp,CbTe/TbCe,-2,-1.7
repeat-u.lgp,TbObTee,-3,-2.4
repeat-bb.lgp,CbTe/TbCe,-1,-1.7
integrative-e.lgp,TbOe,-3,-1.8
integrative-i.lgp,TbCOe,-3,-2.5
integrative-h.lgp,TbOe,-3,-1.4000001
integrative-c.lgp,TbOe,-3,-0.70000005
integrative-f.lgp,TbCOe,-1,-2.5
integrative-g.lgp,TbObCee,-3,-2.6
