puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-2.6
dotogether-n.lgp,T,-3,-2.5
dotogether-o.lgp,T,5,-0.70000005
dotogether-m.lgp,T,-2,-0.29999995
dotogether-o.lgp,T,5,-0.70000005
dotogether-e.lgp,T,0,-0.20000005
dotogether-b.lgp,T,0,-0.5999999
dotogether-c.lgp,T,-2,-0.20000005
dotogether-i.lgp,T,5,-0.70000005
dotogether-l.lgp,T,-3,-0.5999999
dotogether-f.lgp,T,-2,-0.20000005
dotogether-j.lgp,T,-1,-0.29999995
dotogether-k.lgp,T,1,-0.5
dotogether-h.lgp,T,5,-0.5999999
dotogether-d.lgp,T,-1,-0.5
dotogether-i.lgp,T,5,-0.70000005
dotogether-g.lgp,T,-1,-0.20000005
dotogether-o.lgp,T,-1,-0.70000005
dotogether-i.lgp,T,-1,-0.70000005
dotogether-h.lgp,T,1,-0.5999999
repeat-gg.lgp,C,-2,-2.6
repeat-f.lgp,C,5,-2.7
repeat-ee.lgp,C,-3,-2.6
repeat-e.lgp,C,-1,-2.5
repeat-m.lgp,C,-1,-2.5
repeat-a.lgp,C,-2,-2.5
repeat-g.lgp,C,-4,-2.2
repeat-dd.lgp,CbCe,5,3.1999998
repeat-b.lgp,C,-2,-2.8
repeat-cc.lgp,CbCe,5,3.1
repeat-f.lgp,C,-2,-2.7
repeat-c.lgp,CbCe,5,3.5
repeat-dd.lgp,CbCe,1,3.1999998
repeat-ii.lgp,CbCe,-1,1.4000001
repeat-hh.lgp,CbCe,-2,2.0
repeat-cc.lgp,CbCe,-4,3.1
repeat-ff.lgp,CbCe,5,2.9
repeat-c.lgp,CbCe,1,3.5
repeat-ff.lgp,CbCe,5,2.9
repeat-ff.lgp,CbCe,-1,2.9
repeat-j.lgp,CbTe,-2,-2.2
repeat-o.lgp,CbTe,-2,-1.9000001
repeat-i.lgp,CbTe,5,-1.3
repeat-l.lgp,TbCe,-3,-0.70000005
repeat-q.lgp,TbCe,-3,-0.70000005
repeat-w.lgp,TbCe,-3,0.099999905
repeat-x.lgp,TbCe,-1,0.9000001
repeat-n.lgp,CbTe,5,-0.5999999
