puzzle,model,cogLoad,predicted
dotogether-o.lgp,T,-1,-1.8
dotogether-m.lgp,T,-3,-2.7
dotogether-e.lgp,T,1,-2.9
dotogether-n.lgp,T,-4,-3.0
dotogether-a.lgp,T,-4,-3.0
dotogether-d.lgp,T,-4,-3.3
dotogether-c.lgp,T,-3,-3.5
dotogether-l.lgp,T,-3,-3.6
dotogether-i.lgp,T,-2,-2.9
dotogether-f.lgp,T,-2,-2.6
dotogether-g.lgp,T,-3,-2.9
dotogether-h.lgp,T,2,-2.7
repeat-e.lgp,C,-3,-2.8
repeat-m.lgp,C,-3,-3.0
repeat-f.lgp,C,-2,-2.4
repeat-a.lgp,C,-2,-2.8
repeat-g.lgp,C,-2,-1.7
repeat-cc.lgp,CbCe,-1,1.0
repeat-hh.lgp,CbCe,-4,-1.5999999
repeat-ii.lgp,CbCe,-3,-0.20000005
repeat-ff.lgp,CbCe,5,4.2
repeat-c.lgp,CbCe,-2,3.1
repeat-ff.lgp,CbCe,1,4.2
repeat-j.lgp,CbTe,-3,-2.5
repeat-n.lgp,CbTe,-2,-1.5999999
repeat-l.lgp,TbCe,-1,-0.099999905
repeat-q.lgp,TbCe,-4,-0.4000001
repeat-r.lgp,TbCe,-2,-0.4000001
repeat-p.lgp,TbCe,1,-0.5999999
repeat-y.lgp,TbCe,-2,-0.4000001
repeat-z.lgp,CbTe/TbCe,-2,-0.6
repeat-aa.lgp,CbTe/TbCe,2,-0.5500001
doinorder-l.lgp,TbOe,-3,-0.9000001
doinorder-k.lgp,TbOe,-4,-2.2
doinorder-f.lgp,TbOe,-4,-2.2
doinorder-g.lgp,TbOe,-3,-1.2
doinorder-b.lgp,TbOe,5,-1.0
doinorder-b.lgp,TbOe,-2,-1.0
doinorder-o.lgp,TbOe,-1,-1.9000001
doinorder-w.lgp,TbOe,-4,-1.0999999
doinorder-x.lgp,TbOe,-4,-1.8
doinorder-d.lgp,TbOe,-3,-2.6
doinorder-r.lgp,TbOe,2,-2.8
doinorder-s.lgp,TbObTee,5,0.8000002
doinorder-s.lgp,TbObTee,-2,0.8000002
doinorder-y.lgp,TbOe,-4,-1.9000001
doinorder-m.lgp,TbObTee,5,-1.0
doinorder-t.lgp,TbObTee,-3,0.19999981
