puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-1,-2.5
dotogether-a.lgp,T,-1,-2.3
dotogether-m.lgp,T,-2,-2.6
dotogether-n.lgp,T,-3,-2.2
dotogether-e.lgp,T,-4,-2.2
dotogether-c.lgp,T,-3,-3.5
dotogether-d.lgp,T,-3,-3.3
dotogether-l.lgp,T,-4,-3.3
dotogether-j.lgp,T,-1,-2.8
dotogether-g.lgp,T,-3,-3.2
dotogether-k.lgp,T,-2,-3.1
dotogether-h.lgp,T,-2,-2.7
repeat-e.lgp,C,-1,-2.9
repeat-m.lgp,C,-3,-2.7
repeat-f.lgp,C,-4,-2.5
repeat-ee.lgp,C,-4,-3.5
repeat-gg.lgp,C,-3,-3.7
repeat-g.lgp,C,1,-3.5
repeat-b.lgp,C,-3,-2.3
repeat-cc.lgp,CbCe,-3,-1.0999999
repeat-hh.lgp,CbCe,-1,-1.0999999
repeat-dd.lgp,CbCe,1,-0.20000005
repeat-ff.lgp,CbCe,-4,-0.70000005
repeat-i.lgp,CbTe,-3,-2.5
repeat-j.lgp,CbTe,-4,-2.5
repeat-n.lgp,CbTe,-4,-2.9
repeat-l.lgp,TbCe,-4,-2.0
repeat-w.lgp,TbCe,-4,-2.7
repeat-x.lgp,TbCe,-4,-2.8
repeat-y.lgp,TbCe,1,-2.7
repeat-r.lgp,TbCe,5,-2.1
repeat-p.lgp,TbCe,-4,-0.5999999
repeat-s.lgp,CbTe/TbCe,-2,-1.05
repeat-z.lgp,CbTe/TbCe,-2,-1.5999999
repeat-aa.lgp,CbTe/TbCe,-3,-1.5500001
doinorder-a.lgp,TbOe,-3,-1.7
doinorder-k.lgp,TbOe,-4,-3.0
doinorder-l.lgp,TbOe,-4,-2.1
doinorder-w.lgp,TbOe,-3,-2.4
doinorder-g.lgp,TbOe,5,-1.5999999
doinorder-f.lgp,TbOe,-4,-0.5999999
doinorder-o.lgp,TbOe,5,-1.0999999
doinorder-b.lgp,TbOe,-3,0.0
doinorder-n.lgp,TbOe,-3,-1.7
doinorder-x.lgp,TbOe,5,-1.5
doinorder-q.lgp,TbOe,5,-0.20000005
doinorder-o.lgp,TbOe,5,-1.0999999
doinorder-g.lgp,TbOe,-2,-1.5999999
doinorder-x.lgp,TbOe,5,-1.5
doinorder-x.lgp,TbOe,5,-1.5
doinorder-x.lgp,TbOe,1,-1.5
doinorder-p.lgp,TbOe,-4,-2.0
doinorder-d.lgp,TbOe,-3,-0.9000001
doinorder-r.lgp,TbOe,-3,-1.7
doinorder-s.lgp,TbObTee,-3,-0.20000005
doinorder-y.lgp,TbOe,-4,-2.5
doinorder-z.lgp,TbObTee,5,-1.5
doinorder-t.lgp,TbObTee,5,-0.79999995
doinorder-t.lgp,TbObTee,-4,-0.79999995
doinorder-u.lgp,TbObTee,-4,-0.79999995
doinorder-j.lgp,TbObTee,-4,-1.7
doinorder-bb.lgp,TbObTee,-4,-1.5999999
doinorder-cc.lgp,TbObTee,-3,-1.5999999
doinorder-e.lgp,TbObTee,-4,-0.70000005
repeat-t.lgp,CbTe/TbCe,-3,-1.55
repeat-bb.lgp,CbTe/TbCe,-1,-1.3
doinorder-v.lgp,TbObTee,5,-0.70000005
doinorder-h.lgp,TbObTee,5,-1.0
repeat-u.lgp,TbObTee,-4,-0.5
integrative-h.lgp,TbOe,-3,-2.3
integrative-e.lgp,TbOe,-4,-1.9000001
integrative-b.lgp,TbOe,-4,-1.0999999
integrative-i.lgp,TbCOe,-4,-2.5
integrative-a.lgp,TbCOe,-3,-2.5
integrative-g.lgp,TbObCee,-3,-2.6
integrative-d.lgp,TbCObTee,5,5.0
integrative-f.lgp,TbCOe,-4,-2.5
integrative-c.lgp,TbOe,-4,-2.0
doinorder-v.lgp,TbObTee,5,-0.70000005
