puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-3,-2.2
dotogether-a.lgp,T,-2,-2.4
dotogether-o.lgp,T,-2,-2.5
dotogether-n.lgp,T,-3,-3.2
dotogether-m.lgp,T,-3,-3.3
dotogether-d.lgp,T,-2,-3.4
dotogether-l.lgp,T,-3,-3.3
dotogether-f.lgp,T,-2,-3.2
dotogether-j.lgp,T,-2,-2.5
dotogether-k.lgp,T,-3,-2.8
dotogether-g.lgp,T,-3,-3.4
dotogether-e.lgp,T,-3,-3.1
dotogether-h.lgp,T,-2,-3.1
repeat-gg.lgp,C,-3,-2.9
repeat-f.lgp,C,5,-2.1
repeat-ee.lgp,C,-3,-3.1
repeat-m.lgp,C,-3,-3.0
repeat-a.lgp,C,-2,-3.0
repeat-b.lgp,C,-2,-2.9
repeat-dd.lgp,CbCe,5,3.8000002
repeat-g.lgp,C,-2,-2.6
repeat-cc.lgp,CbCe,5,2.6999998
repeat-f.lgp,C,-3,-2.1
repeat-dd.lgp,CbCe,5,3.8000002
repeat-e.lgp,C,-3,-2.5
repeat-hh.lgp,CbCe,-2,2.0
repeat-c.lgp,CbCe,-3,2.8000002
repeat-ii.lgp,CbCe,-2,1.0
repeat-ff.lgp,CbCe,-2,1.0999999
repeat-o.lgp,CbTe,-2,-2.4
repeat-j.lgp,CbTe,-2,-2.2
repeat-w.lgp,TbCe,-2,-1.0999999
repeat-q.lgp,TbCe,5,-1.3
repeat-l.lgp,TbCe,-2,-1.0999999
repeat-y.lgp,TbCe,-2,-1.0999999
repeat-r.lgp,TbCe,-2,-0.5
repeat-z.lgp,CbTe/TbCe,-2,-1.9
repeat-s.lgp,CbTe/TbCe,-2,-2.0500002
repeat-aa.lgp,CbTe/TbCe,-2,-2.0
doinorder-a.lgp,TbOe,-3,-2.3
doinorder-l.lgp,TbOe,-2,-2.3
doinorder-n.lgp,TbOe,-2,-0.4000001
doinorder-f.lgp,TbOe,-2,-1.2
doinorder-b.lgp,TbOe,-2,0.4000001
doinorder-o.lgp,TbOe,5,2.0
doinorder-w.lgp,TbOe,5,0.9000001
doinorder-k.lgp,TbOe,-2,-0.9000001
doinorder-g.lgp,TbOe,-2,-0.099999905
doinorder-x.lgp,TbOe,5,-0.099999905
doinorder-d.lgp,TbOe,-2,0.099999905
doinorder-q.lgp,TbOe,5,0.5
doinorder-o.lgp,TbOe,5,2.0
doinorder-w.lgp,TbOe,-2,0.9000001
doinorder-x.lgp,TbOe,-2,-0.099999905
doinorder-p.lgp,TbOe,-2,-0.099999905
doinorder-s.lgp,TbObTee,-2,-1.8
doinorder-y.lgp,TbOe,-2,-0.9000001
doinorder-z.lgp,TbObTee,-2,-2.5
doinorder-r.lgp,TbOe,5,0.4000001
doinorder-t.lgp,TbObTee,-2,-2.3
doinorder-v.lgp,TbObTee,-2,-2.3
doinorder-bb.lgp,TbObTee,-2,-2.3
doinorder-e.lgp,TbObTee,-2,-2.3
doinorder-cc.lgp,TbObTee,-2,-2.3
doinorder-j.lgp,TbObTee,-2,-2.3
repeat-u.lgp,TbObTee,-2,-2.3
repeat-t.lgp,CbTe/TbCe,5,-1.6999999
repeat-bb.lgp,CbTe/TbCe,-2,-1.3000001
integrative-h.lgp,TbOe,-2,-1.0
integrative-e.lgp,TbOe,-2,-2.2
integrative-b.lgp,TbOe,-2,-0.9000001
integrative-c.lgp,TbOe,5,0.4000001
doinorder-h.lgp,TbObTee,5,-2.1
integrative-i.lgp,TbCOe,-2,-2.5
integrative-a.lgp,TbCOe,-2,-2.5
integrative-g.lgp,TbObCee,5,-2.6
integrative-g.lgp,TbObCee,-2,-2.6
