puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-3.1
dotogether-n.lgp,T,-3,-3.2
dotogether-b.lgp,T,-4,-3.2
dotogether-m.lgp,T,-3,-3.4
dotogether-e.lgp,T,-2,-2.9
dotogether-o.lgp,T,-2,-3.0
dotogether-l.lgp,T,-1,-3.4
dotogether-d.lgp,T,-3,-2.7
dotogether-c.lgp,T,-1,-3.0
dotogether-i.lgp,T,1,-2.2
dotogether-f.lgp,T,-1,-1.5
dotogether-k.lgp,T,0,-1.0
dotogether-g.lgp,T,-1,-1.9000001
dotogether-h.lgp,T,0,-1.3
repeat-gg.lgp,C,-3,-2.7
repeat-ee.lgp,C,-4,-2.8
repeat-m.lgp,C,-4,-3.4
repeat-e.lgp,C,-2,-3.7
repeat-f.lgp,C,-3,-3.2
repeat-g.lgp,C,-3,-2.6
repeat-a.lgp,C,-2,-3.3
repeat-dd.lgp,CbCe,5,0.8000002
repeat-cc.lgp,CbCe,0,2.0
repeat-dd.lgp,CbCe,5,0.8000002
repeat-hh.lgp,CbCe,5,-0.4000001
repeat-b.lgp,C,5,-2.7
repeat-dd.lgp,CbCe,4,0.8000002
repeat-hh.lgp,CbCe,-1,-0.4000001
repeat-ii.lgp,CbCe,-1,0.6999998
repeat-c.lgp,CbCe,5,1.9000001
repeat-ff.lgp,CbCe,-1,4.1000004
repeat-i.lgp,CbTe,5,-1.5
repeat-o.lgp,CbTe,-2,-2.7
repeat-j.lgp,CbTe,-3,-2.3
repeat-n.lgp,CbTe,-2,-1.2
repeat-l.lgp,TbCe,-1,-0.9000001
repeat-x.lgp,TbCe,0,-1.0
repeat-w.lgp,TbCe,0,0.19999981
repeat-p.lgp,TbCe,-1,1.1999998
repeat-q.lgp,TbCe,-2,0.19999981
repeat-y.lgp,TbCe,-1,1.1999998
repeat-s.lgp,CbTe/TbCe,1,0.95000005
repeat-z.lgp,CbTe/TbCe,5,-1.1
repeat-aa.lgp,CbTe/TbCe,5,-0.6500001
repeat-z.lgp,CbTe/TbCe,-1,-1.1
repeat-i.lgp,CbTe,-4,-1.5
repeat-aa.lgp,CbTe/TbCe,-1,-0.6500001
doinorder-l.lgp,TbOe,0,-1.0999999
doinorder-a.lgp,TbOe,-2,0.0
doinorder-n.lgp,TbOe,-1,-1.2
doinorder-k.lgp,TbOe,-2,-0.5
doinorder-f.lgp,TbOe,-3,-2.3
doinorder-b.lgp,TbOe,5,1.5
doinorder-o.lgp,TbOe,-1,1.4000001
doinorder-g.lgp,TbOe,0,0.5999999
doinorder-d.lgp,TbOe,-1,-1.0
doinorder-q.lgp,TbOe,-1,0.4000001
doinorder-x.lgp,TbOe,5,-0.5999999
doinorder-p.lgp,TbOe,-2,0.5999999
doinorder-y.lgp,TbOe,-1,0.099999905
doinorder-r.lgp,TbOe,0,1.1999998
doinorder-s.lgp,TbObTee,5,2.1999998
doinorder-b.lgp,TbOe,0,1.5
doinorder-s.lgp,TbObTee,-1,2.1999998
doinorder-z.lgp,TbObTee,-2,0.9000001
doinorder-m.lgp,TbObTee,-2,-0.5999999
doinorder-w.lgp,TbOe,-1,-0.70000005
doinorder-x.lgp,TbOe,5,-0.5999999
doinorder-u.lgp,TbObTee,5,1.5
doinorder-t.lgp,TbObTee,-1,2.8000002
doinorder-x.lgp,TbOe,5,-0.5999999
doinorder-u.lgp,TbObTee,1,1.5
doinorder-h.lgp,TbObTee,5,2.4
doinorder-h.lgp,TbObTee,-1,2.4
doinorder-j.lgp,TbObTee,-1,2.8000002
doinorder-bb.lgp,TbObTee,5,1.5999999
doinorder-cc.lgp,TbObTee,-2,2.8000002
doinorder-e.lgp,TbObTee,-1,1.5
doinorder-v.lgp,TbObTee,5,3.4
repeat-t.lgp,CbTe/TbCe,-1,-0.5500001
