index,puzzleType,puzzle,structure,difficulty,numAttempts,lines,unfamMethods,structContent,uniqueStmts,nestingDepth,numConst,stmtsInLock,stmtsAfterLock,constructsInLock,constructsAfterLock,numAttempts,nestingDepth_1,uniqueConstructs,numStatements,isRepeat,isRepeatInt,isDoInOrder,isIntegrative,avgLoad,avgPlayMine,CCnt,CbCeCnt,CbTeCnt,TCnt,TbCeCnt,TbCObTeeCnt,TbCOeCnt,TbObCeeCnt,TbObTeeCnt,TbOeCnt,CbTbCeeCnt
7,doinorder,doinorder-a.lgp,TbOe,1,28,9,3,1,5,2,2,0,7,1,1,28,2,2,7,0,0,1,0,-1.538461538,3.535714286,0,0,0,0,0,0,0,0,0,1,0
2,doinorder,doinorder-b.lgp,TbOe,2,35,10,6,0,8,2,2,1,7,0,2,35,2,2,8,0,0,1,0,0.742857143,6.028571429,0,0,0,0,0,0,0,0,0,1,0
15,doinorder,doinorder-d.lgp,TbOe,3,28,9,4,1,5,2,2,0,7,0,2,27,2,2,6,0,0,1,0,-1.407407407,5.703703704,0,0,0,0,0,0,0,0,0,1,0
8,doinorder,doinorder-f.lgp,TbOe,1,30,9,1,2,3,2,2,0,7,1,1,24,2,2,7,0,0,1,0,-1.333333333,3.041666667,0,0,0,0,0,0,0,0,0,1,0
4,doinorder,doinorder-g.lgp,TbOe,2,27,8,3,0,6,2,2,1,5,0,2,18,3,2,5,0,0,1,0,3,12.83333333,0,0,0,0,0,0,0,0,1,0,0
9,doinorder,doinorder-k.lgp,TbOe,1,29,8,1,1,4,2,2,0,6,1,1,21,2,2,7,0,0,1,0,-1.523809524,2.761904762,0,0,0,0,0,0,0,0,0,1,0
5,doinorder,doinorder-l.lgp,TbOe,1,24,9,2,1,4,2,2,0,7,1,1,32,2,2,5,0,0,1,0,1.516129032,6.71875,0,0,0,0,0,0,0,0,0,1,0
20,doinorder,doinorder-m.lgp,TbObTee,5,18,8,3,0,5,3,3,0,5,1,2,32,2,2,9,0,0,1,0,0.407407407,7.8125,0,0,0,1,0,0,0,0,0,1,0
17,doinorder,doinorder-n.lgp,TbOe,1,24,6,2,0,4,2,2,0,4,1,1,33,3,2,6,0,0,1,0,0.939393939,6.272727273,0,0,0,0,0,0,0,0,1,0,0
13,doinorder,doinorder-o.lgp,TbOe,2,52,11,2,0,8,2,3,1,7,0,3,17,3,2,10,0,0,1,0,-1.0625,2.764705882,0,0,0,0,0,0,0,0,1,0,0
10,doinorder,doinorder-p.lgp,TbOe,3,21,9,0,1,4,2,2,0,7,0,2,18,3,2,5,0,0,1,0,-0.588235294,7.666666667,0,0,0,0,0,0,0,0,1,0,0
6,doinorder,doinorder-q.lgp,TbOe,3,32,7,4,0,5,2,2,0,5,0,2,30,2,2,10,0,0,1,0,-1.033333333,3.5,0,0,0,1,0,0,0,0,0,1,0
1,doinorder,doinorder-r.lgp,TbOe,4,32,12,2,1,8,2,3,0,9,0,3,33,2,2,9,0,0,1,0,0.96875,7.272727273,0,0,0,1,0,0,0,0,0,1,0
18,doinorder,doinorder-s.lgp,TbObTee,4,33,9,0,1,5,3,3,0,6,2,1,25,2,2,12,0,0,1,0,-1.76,1.88,0,0,0,1,0,0,0,0,0,1,0
14,doinorder,doinorder-t.lgp,TbObTee,5,17,13,1,2,4,3,3,0,10,2,1,22,3,2,6,0,0,1,0,1.272727273,5.090909091,0,0,0,0,0,0,0,0,1,0,0
11,doinorder,doinorder-u.lgp,TbObTee,6,18,8,0,1,4,3,3,0,5,0,3,36,1,1,7,0,0,0,0,-2.685714286,1.833333333,0,0,0,1,0,0,0,0,0,0,0
3,doinorder,doinorder-w.lgp,TbOe,2,30,13,2,1,8,2,3,0,10,0,3,34,1,1,6,0,0,0,0,-1.382352941,3.911764706,0,0,0,1,0,0,0,0,0,0,0
19,doinorder,doinorder-x.lgp,TbOe,3,33,12,0,3,5,2,3,0,9,0,3,35,1,1,6,0,0,0,0,-2.285714286,2.342857143,0,0,0,2,0,0,0,0,0,0,0
16,doinorder,doinorder-y.lgp,TbOe,4,25,15,0,3,3,2,3,0,12,0,3,38,1,1,7,0,0,0,0,-1.135135135,4.447368421,0,0,0,2,0,0,0,0,0,0,0
12,doinorder,doinorder-z.lgp,TbObTee,5,22,9,0,2,4,3,3,0,6,1,2,35,1,1,6,0,0,0,0,-0.914285714,4.285714286,0,0,0,2,0,0,0,0,0,0,0
24,dotogether,dotogether-a.lgp,T,2,36,8,0,1,5,1,1,0,7,0,1,27,1,1,6,0,0,0,0,-2,2.703703704,0,0,0,3,0,0,0,0,0,0,0
38,dotogether,dotogether-b.lgp,T,2,38,6,1,0,5,1,1,0,5,0,1,43,1,1,9,0,0,0,0,-0.12195122,5.11627907,0,0,0,3,0,0,0,0,0,0,0
34,dotogether,dotogether-c.lgp,T,3,34,7,2,0,6,1,1,0,6,0,1,36,1,1,8,0,0,0,0,-1.235294118,4.361111111,0,0,0,2,0,0,0,0,0,0,0
30,dotogether,dotogether-d.lgp,T,3,35,8,0,0,6,1,2,0,6,0,2,30,1,1,9,0,0,0,0,-0.896551724,3,0,0,0,2,0,0,0,0,0,0,0
27,dotogether,dotogether-e.lgp,T,3,38,9,3,0,7,1,2,0,7,0,2,31,1,1,9,0,0,0,0,-0.483870968,5.709677419,0,0,0,2,0,0,0,0,0,0,0
25,dotogether,dotogether-f.lgp,T,4,35,8,2,0,6,1,2,0,6,0,2,38,1,1,6,0,0,0,0,-2.236842105,3.210526316,0,0,0,1,0,0,0,0,0,0,0
21,dotogether,dotogether-g.lgp,T,5,27,9,1,1,5,1,3,0,6,0,3,38,1,1,6,0,0,0,0,-2.605263158,1.921052632,0,0,0,2,0,0,0,0,0,0,0
