puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,1,-3.4
dotogether-o.lgp,T,1,-1.4000001
dotogether-m.lgp,T,-3,-2.5
dotogether-n.lgp,T,-3,-2.4
dotogether-a.lgp,T,-3,-3.2
dotogether-e.lgp,T,-3,-2.7
dotogether-l.lgp,T,-3,-3.4
dotogether-c.lgp,T,-3,-3.2
dotogether-i.lgp,T,3,-3.1
dotogether-j.lgp,T,-1,-1.0
dotogether-f.lgp,T,-1,-1.2
dotogether-h.lgp,T,-2,-1.0999999
repeat-gg.lgp,C,-2,-2.6
repeat-f.lgp,C,5,-2.6
repeat-ee.lgp,C,-3,-2.9
repeat-e.lgp,C,-4,-3.0
repeat-a.lgp,C,-2,-3.0
repeat-b.lgp,C,1,-2.8
repeat-g.lgp,C,-2,-2.5
repeat-cc.lgp,CbCe,5,3.3000002
repeat-m.lgp,C,-3,-2.7
repeat-dd.lgp,CbCe,5,3.1
repeat-cc.lgp,CbCe,1,3.3000002
repeat-ii.lgp,CbCe,5,2.0
repeat-hh.lgp,CbCe,-2,2.6999998
repeat-c.lgp,CbCe,-1,2.3000002
repeat-ff.lgp,CbCe,-1,1.9000001
repeat-i.lgp,CbTe,0,-2.4
repeat-o.lgp,CbTe,0,-2.0
repeat-w.lgp,TbCe,5,0.19999981
repeat-j.lgp,CbTe,-1,-1.5999999
repeat-x.lgp,TbCe,5,-0.5
repeat-q.lgp,TbCe,5,-0.099999905
repeat-n.lgp,CbTe,5,-1.4000001
repeat-l.lgp,TbCe,5,-0.29999995
repeat-w.lgp,TbCe,-1,0.19999981
repeat-x.lgp,TbCe,0,-0.5
repeat-p.lgp,TbCe,0,-0.099999905
repeat-r.lgp,TbCe,-1,-0.4000001
repeat-y.lgp,TbCe,-2,-0.5999999
repeat-s.lgp,CbTe/TbCe,1,-0.5
repeat-aa.lgp,CbTe/TbCe,-2,-0.6
doinorder-a.lgp,TbOe,-1,0.0
doinorder-k.lgp,TbOe,-2,0.6999998
doinorder-f.lgp,TbOe,-1,-1.4000001
doinorder-n.lgp,TbOe,-3,0.5999999
doinorder-b.lgp,TbOe,-2,-1.0
doinorder-o.lgp,TbOe,5,-0.099999905
