puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-3,-2.8
dotogether-o.lgp,T,-3,-2.5
dotogether-a.lgp,T,-2,-2.3
dotogether-m.lgp,T,-3,-2.5
dotogether-n.lgp,T,-4,-3.0
dotogether-c.lgp,T,0,-3.4
dotogether-d.lgp,T,-3,-3.1
dotogether-i.lgp,T,-4,-3.0
dotogether-l.lgp,T,-2,-3.7
dotogether-f.lgp,T,1,-3.4
dotogether-e.lgp,T,-3,-1.8
dotogether-k.lgp,T,-3,-2.1
dotogether-g.lgp,T,-4,-2.9
dotogether-h.lgp,T,1,-2.6
repeat-ee.lgp,C,-4,-2.7
repeat-gg.lgp,C,-2,-3.0
repeat-m.lgp,C,-3,-2.8
repeat-a.lgp,C,1,-3.4
repeat-e.lgp,C,-1,-2.4
repeat-b.lgp,C,-3,-2.3
repeat-cc.lgp,CbCe,-3,-1.4000001
repeat-g.lgp,C,-4,-3.3
repeat-dd.lgp,CbCe,2,-1.9000001
repeat-c.lgp,CbCe,-3,-1.0999999
repeat-hh.lgp,CbCe,-3,-1.3
repeat-f.lgp,C,2,-3.0
repeat-ii.lgp,CbCe,-3,-0.5
repeat-ff.lgp,CbCe,-3,-1.3
repeat-i.lgp,CbTe,5,-2.0
repeat-j.lgp,CbTe,-3,-2.2
repeat-i.lgp,CbTe,-3,-2.0
repeat-o.lgp,CbTe,-2,-1.5999999
repeat-w.lgp,TbCe,2,-0.29999995
repeat-n.lgp,CbTe,3,-2.3
repeat-x.lgp,TbCe,-2,0.099999905
repeat-l.lgp,TbCe,-4,0.099999905
repeat-q.lgp,TbCe,5,-0.79999995
repeat-r.lgp,TbCe,-2,-1.3
repeat-p.lgp,TbCe,-3,-1.4000001
repeat-z.lgp,CbTe/TbCe,-1,-1.9000001
repeat-aa.lgp,CbTe/TbCe,-2,-1.95
doinorder-l.lgp,TbOe,-3,-1.9000001
doinorder-f.lgp,TbOe,-2,-2.1
doinorder-a.lgp,TbOe,-3,-1.0
doinorder-n.lgp,TbOe,-3,-0.5999999
doinorder-k.lgp,TbOe,-3,-2.2
doinorder-o.lgp,TbOe,5,-0.20000005
doinorder-b.lgp,TbOe,1,1.8000002
doinorder-g.lgp,TbOe,5,1.0999999
doinorder-w.lgp,TbOe,-3,1.0999999
doinorder-x.lgp,TbOe,-1,0.3000002
doinorder-d.lgp,TbOe,-3,0.8000002
doinorder-p.lgp,TbOe,-3,-1.3
doinorder-q.lgp,TbOe,5,-0.5999999
doinorder-g.lgp,TbOe,0,1.0999999
doinorder-r.lgp,TbOe,5,0.19999981
doinorder-s.lgp,TbObTee,5,-0.099999905
doinorder-o.lgp,TbOe,5,-0.20000005
