puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-2.0
dotogether-o.lgp,T,5,-1.3
dotogether-b.lgp,T,-2,-1.8
dotogether-m.lgp,T,-4,-1.4000001
dotogether-n.lgp,T,-4,-1.9000001
dotogether-e.lgp,T,1,-2.1
dotogether-d.lgp,T,-4,-2.0
dotogether-i.lgp,T,-1,-1.5999999
dotogether-c.lgp,T,2,-1.3
dotogether-l.lgp,T,-4,-1.5999999
dotogether-f.lgp,T,2,-1.0999999
dotogether-g.lgp,T,5,-1.2
dotogether-o.lgp,T,-2,-1.3
dotogether-g.lgp,T,1,-1.2
dotogether-k.lgp,T,-1,-1.0999999
dotogether-j.lgp,T,1,-1.0
dotogether-h.lgp,T,2,-1.0
repeat-e.lgp,C,5,-2.7
repeat-gg.lgp,C,-3,-2.9
repeat-f.lgp,C,-3,-2.9
repeat-m.lgp,C,-3,-3.1
repeat-a.lgp,C,-2,-3.2
repeat-g.lgp,C,-2,-3.0
repeat-b.lgp,C,5,-1.5999999
repeat-ee.lgp,C,-4,-2.5
repeat-e.lgp,C,-1,-2.7
repeat-cc.lgp,CbCe,1,-1.0
repeat-dd.lgp,CbCe,3,1.0999999
repeat-ii.lgp,CbCe,-2,1.8000002
repeat-ff.lgp,CbCe,3,1.4000001
repeat-i.lgp,CbTe,-4,-2.0
repeat-n.lgp,CbTe,1,-2.1
repeat-l.lgp,TbCe,2,0.19999981
repeat-w.lgp,TbCe,-4,1.0
repeat-q.lgp,TbCe,5,1.0
repeat-j.lgp,CbTe,5,-0.4000001
repeat-q.lgp,TbCe,-1,1.0
repeat-p.lgp,TbCe,2,1.5999999
repeat-r.lgp,TbCe,-3,0.6999998
repeat-z.lgp,CbTe/TbCe,3,-0.45000005
repeat-aa.lgp,CbTe/TbCe,4,-0.85
