puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,0,-2.4
dotogether-n.lgp,T,0,-0.5999999
dotogether-m.lgp,T,-1,-0.5999999
dotogether-b.lgp,T,-1,-1.3
dotogether-c.lgp,T,-1,-1.0
dotogether-l.lgp,T,0,-0.9000001
dotogether-d.lgp,T,0,-0.5
dotogether-i.lgp,T,0,-0.5999999
dotogether-j.lgp,T,0,-0.5
dotogether-f.lgp,T,5,0.099999905
dotogether-f.lgp,T,5,0.099999905
dotogether-f.lgp,T,2,0.099999905
dotogether-k.lgp,T,0,-1.3
dotogether-h.lgp,T,3,-1.0
repeat-gg.lgp,C,-1,-2.6
repeat-f.lgp,C,1,-2.2
repeat-dd.lgp,CbCe,1,1.8000002
repeat-c.lgp,CbCe,0,0.9000001
repeat-ff.lgp,CbCe,1,1.5
repeat-j.lgp,CbTe,0,-1.9000001
repeat-n.lgp,CbTe,0,-2.2
repeat-o.lgp,CbTe,0,-1.8
repeat-x.lgp,TbCe,0,2.1
repeat-l.lgp,TbCe,0,1.8000002
repeat-w.lgp,TbCe,1,2.0
repeat-y.lgp,TbCe,5,-0.9000001
repeat-i.lgp,CbTe,0,-2.4
repeat-q.lgp,TbCe,0,-0.5999999
repeat-p.lgp,TbCe,5,0.19999981
repeat-r.lgp,TbCe,0,0.5999999
repeat-y.lgp,TbCe,5,-0.9000001
repeat-z.lgp,CbTe/TbCe,0,-1.05
repeat-s.lgp,CbTe/TbCe,0,-0.95000005
repeat-y.lgp,TbCe,0,-0.9000001
repeat-aa.lgp,CbTe/TbCe,5,-0.14999986
repeat-aa.lgp,CbTe/TbCe,5,-0.14999986
