puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-3.5
dotogether-b.lgp,T,-4,-3.6
dotogether-m.lgp,T,-3,-3.3
dotogether-n.lgp,T,-4,-3.8
dotogether-o.lgp,T,-4,-3.5
dotogether-d.lgp,T,-4,-3.7
dotogether-c.lgp,T,-4,-3.5
dotogether-l.lgp,T,-4,-3.6
dotogether-j.lgp,T,-3,-3.5
dotogether-i.lgp,T,-4,-3.6
dotogether-k.lgp,T,5,-3.6
dotogether-g.lgp,T,-1,-0.4000001
dotogether-h.lgp,T,-2,-0.70000005
repeat-e.lgp,C,-4,-2.7
repeat-m.lgp,C,-4,-2.8
repeat-f.lgp,C,-4,-2.4
repeat-a.lgp,C,-4,-3.2
repeat-dd.lgp,CbCe,-2,0.0
repeat-cc.lgp,CbCe,-1,0.8000002
repeat-g.lgp,C,-3,-3.2
repeat-ii.lgp,CbCe,5,2.0
repeat-hh.lgp,CbCe,-4,3.5
repeat-ff.lgp,CbCe,-1,3.8000002
repeat-j.lgp,CbTe,-2,-1.5999999
repeat-n.lgp,CbTe,-2,-1.3
repeat-l.lgp,TbCe,5,-0.20000005
repeat-i.lgp,CbTe,-3,-1.3
repeat-x.lgp,TbCe,-2,0.6999998
repeat-l.lgp,TbCe,-4,-0.20000005
repeat-q.lgp,TbCe,-1,0.19999981
repeat-p.lgp,TbCe,-1,-0.4000001
repeat-w.lgp,TbCe,-1,-0.9000001
repeat-r.lgp,TbCe,-2,0.5
repeat-s.lgp,CbTe/TbCe,1,-0.19999993
repeat-y.lgp,TbCe,-3,-0.5999999
repeat-o.lgp,CbTe,-3,-0.9000001
repeat-z.lgp,CbTe/TbCe,5,-1.4000001
repeat-z.lgp,CbTe/TbCe,-2,-1.4000001
repeat-aa.lgp,CbTe/TbCe,-4,-1.9
doinorder-a.lgp,TbOe,-4,-2.3
doinorder-l.lgp,TbOe,-4,-2.7
doinorder-k.lgp,TbOe,-3,-2.9
doinorder-n.lgp,TbOe,-4,-2.4
doinorder-f.lgp,TbOe,-4,-3.1
doinorder-o.lgp,TbOe,5,-1.5
doinorder-w.lgp,TbOe,-1,-0.79999995
doinorder-q.lgp,TbOe,0,-0.5999999
doinorder-r.lgp,TbOe,0,-0.9000001
doinorder-d.lgp,TbOe,-3,-1.4000001
doinorder-m.lgp,TbObTee,5,0.5
doinorder-o.lgp,TbOe,5,-1.5
