puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,1,-2.7
dotogether-m.lgp,T,2,-2.9
dotogether-o.lgp,T,0,-2.0
dotogether-a.lgp,T,-1,-2.3
dotogether-e.lgp,T,1,-1.4000001
dotogether-d.lgp,T,-1,-1.0999999
dotogether-c.lgp,T,0,-0.9000001
dotogether-i.lgp,T,0,-0.9000001
dotogether-f.lgp,T,-1,-1.2
dotogether-l.lgp,T,-2,-1.5
dotogether-j.lgp,T,0,-1.0999999
dotogether-h.lgp,T,1,-0.79999995
repeat-gg.lgp,C,-3,-2.6
repeat-ee.lgp,C,-1,-2.8
repeat-f.lgp,C,0,-2.4
repeat-e.lgp,C,-1,-2.3
repeat-m.lgp,C,-2,-2.3
repeat-b.lgp,C,1,-1.0
repeat-a.lgp,C,-1,-2.3
repeat-g.lgp,C,2,-2.1
repeat-dd.lgp,CbCe,5,2.5
repeat-cc.lgp,CbCe,3,1.3000002
repeat-dd.lgp,CbCe,5,2.5
repeat-ii.lgp,CbCe,5,2.5
repeat-dd.lgp,CbCe,3,2.5
repeat-hh.lgp,CbCe,1,0.6999998
repeat-c.lgp,CbCe,0,1.5999999
repeat-ff.lgp,CbCe,0,2.1999998
repeat-i.lgp,CbTe,5,-1.9000001
repeat-i.lgp,CbTe,0,-1.9000001
repeat-j.lgp,CbTe,-2,-1.5
repeat-o.lgp,CbTe,1,-1.0
repeat-n.lgp,CbTe,-1,-0.70000005
repeat-l.lgp,TbCe,1,0.19999981
repeat-x.lgp,TbCe,0,0.4000001
repeat-w.lgp,TbCe,-2,-0.79999995
repeat-q.lgp,TbCe,1,0.6999998
repeat-y.lgp,TbCe,-1,1.3000002
repeat-p.lgp,TbCe,-2,0.3000002
repeat-r.lgp,TbCe,0,0.9000001
repeat-aa.lgp,CbTe/TbCe,1,0.9999999
doinorder-a.lgp,TbOe,1,0.9000001
doinorder-f.lgp,TbOe,-2,1.4000001
doinorder-n.lgp,TbOe,2,0.5999999
doinorder-k.lgp,TbOe,-4,0.9000001
doinorder-l.lgp,TbOe,0,-0.5999999
doinorder-b.lgp,TbOe,-1,1.1999998
doinorder-o.lgp,TbOe,5,2.1999998
doinorder-o.lgp,TbOe,1,2.1999998
doinorder-w.lgp,TbOe,-1,2.1999998
doinorder-g.lgp,TbOe,0,1.3000002
doinorder-d.lgp,TbOe,5,0.4000001
doinorder-d.lgp,TbOe,0,0.4000001
doinorder-p.lgp,TbOe,5,0.3000002
doinorder-p.lgp,TbOe,0,0.3000002
doinorder-x.lgp,TbOe,1,1.0
doinorder-q.lgp,TbOe,5,1.8000002
doinorder-q.lgp,TbOe,5,1.8000002
doinorder-s.lgp,TbObTee,5,2.9
doinorder-y.lgp,TbOe,1,0.099999905
doinorder-r.lgp,TbOe,-1,1.0
doinorder-s.lgp,TbObTee,5,2.9
doinorder-t.lgp,TbObTee,5,2.3000002
doinorder-q.lgp,TbOe,4,1.8000002
doinorder-m.lgp,TbObTee,2,2.9
doinorder-z.lgp,TbObTee,5,2.9
doinorder-z.lgp,TbObTee,5,2.9
doinorder-z.lgp,TbObTee,5,2.9
doinorder-u.lgp,TbObTee,1,2.9
doinorder-cc.lgp,TbObTee,-2,2.9
doinorder-bb.lgp,TbObTee,-1,2.9
doinorder-h.lgp,TbObTee,2,2.1
doinorder-e.lgp,TbObTee,5,2.1
