puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-3.2
dotogether-b.lgp,T,-4,-3.6
dotogether-m.lgp,T,-4,-3.1
dotogether-n.lgp,T,-4,-3.8
dotogether-o.lgp,T,-4,-3.7
dotogether-d.lgp,T,-4,-3.7
dotogether-l.lgp,T,-3,-4.0
dotogether-e.lgp,T,-3,-3.2
dotogether-c.lgp,T,-3,-3.5
dotogether-i.lgp,T,1,-3.3
dotogether-f.lgp,T,-2,-2.5
dotogether-g.lgp,T,-2,-2.8
dotogether-h.lgp,T,2,-2.0
repeat-gg.lgp,C,-4,-2.6
repeat-f.lgp,C,-3,-2.6
repeat-ee.lgp,C,-4,-3.1
repeat-e.lgp,C,-3,-3.7
repeat-m.lgp,C,-4,-3.7
repeat-b.lgp,C,-3,-2.4
repeat-a.lgp,C,-3,-3.5
repeat-dd.lgp,CbCe,0,-0.29999995
repeat-g.lgp,C,-4,-2.4
repeat-hh.lgp,CbCe,-3,-1.5999999
repeat-cc.lgp,CbCe,-2,-1.7
repeat-c.lgp,CbCe,-3,-1.8
repeat-ii.lgp,CbCe,-3,-2.0
repeat-ff.lgp,CbCe,-3,-1.9000001
repeat-o.lgp,CbTe,-3,-2.7
repeat-j.lgp,CbTe,-3,-3.0
repeat-i.lgp,CbTe,-3,-2.6
repeat-x.lgp,TbCe,-3,-1.7
repeat-n.lgp,CbTe,-3,-2.7
repeat-q.lgp,TbCe,-1,-2.0
repeat-l.lgp,TbCe,-3,-2.4
repeat-y.lgp,TbCe,-3,-2.4
repeat-r.lgp,TbCe,-3,-1.8
repeat-p.lgp,TbCe,-3,-1.8
repeat-z.lgp,CbTe/TbCe,0,-2.5
repeat-s.lgp,CbTe/TbCe,-1,-2.1
repeat-aa.lgp,CbTe/TbCe,-1,-2.0
doinorder-n.lgp,TbOe,-3,-3.1
doinorder-k.lgp,TbOe,-3,-3.3
doinorder-a.lgp,TbOe,-3,-2.8
doinorder-f.lgp,TbOe,-3,-3.3
doinorder-l.lgp,TbOe,-3,-2.5
doinorder-w.lgp,TbOe,-3,-0.79999995
doinorder-g.lgp,TbOe,-2,-1.9000001
doinorder-x.lgp,TbOe,-3,-1.8
doinorder-b.lgp,TbOe,-3,-2.7
doinorder-q.lgp,TbOe,-3,-2.7
doinorder-p.lgp,TbOe,-3,-2.3
doinorder-r.lgp,TbOe,-3,-2.3
doinorder-s.lgp,TbObTee,-3,-0.5
doinorder-d.lgp,TbOe,-3,-2.7
doinorder-z.lgp,TbObTee,-2,-0.5
doinorder-y.lgp,TbOe,-3,-3.1
doinorder-u.lgp,TbObTee,-3,-1.4000001
doinorder-v.lgp,TbObTee,0,-0.5
doinorder-bb.lgp,TbObTee,0,-0.70000005
doinorder-e.lgp,TbObTee,2,0.19999981
doinorder-h.lgp,TbObTee,-3,1.0999999
