puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,0,-2.5
dotogether-b.lgp,T,0,-2.5
dotogether-m.lgp,T,-3,-2.0
dotogether-n.lgp,T,-4,-2.4
dotogether-e.lgp,T,1,-3.2
dotogether-c.lgp,T,1,-2.5
dotogether-i.lgp,T,0,-1.4000001
dotogether-l.lgp,T,0,-1.9000001
dotogether-j.lgp,T,1,-1.4000001
dotogether-f.lgp,T,0,-1.9000001
dotogether-h.lgp,T,0,-1.4000001
repeat-gg.lgp,C,0,-2.6
repeat-ee.lgp,C,-4,-2.3
repeat-f.lgp,C,-1,-2.7
repeat-a.lgp,C,-2,-2.4
repeat-e.lgp,C,0,-2.7
repeat-b.lgp,C,1,-1.9000001
repeat-m.lgp,C,0,-2.2
repeat-cc.lgp,CbCe,-1,-2.1
repeat-dd.lgp,CbCe,2,-2.3
repeat-hh.lgp,CbCe,0,-1.0999999
repeat-g.lgp,C,0,-1.4000001
repeat-ff.lgp,CbCe,0,-0.20000005
repeat-j.lgp,CbTe,0,-2.8
repeat-n.lgp,CbTe,2,-2.3
repeat-o.lgp,CbTe,0,-2.4
repeat-i.lgp,CbTe,-1,-1.5999999
repeat-l.lgp,TbCe,0,2.0
repeat-x.lgp,TbCe,1,2.0
repeat-q.lgp,TbCe,0,1.0999999
repeat-p.lgp,TbCe,0,2.0
repeat-w.lgp,TbCe,-2,0.6999998
repeat-z.lgp,CbTe/TbCe,2,0.05000007
repeat-y.lgp,TbCe,0,0.5999999
repeat-aa.lgp,CbTe/TbCe,5,0.05000007
repeat-r.lgp,TbCe,0,-0.29999995
