puzzle,model,cogLoad,predicted
dotogether-n.lgp,T,-3,-2.7
dotogether-b.lgp,T,-3,-3.3
dotogether-o.lgp,T,-3,-3.1
dotogether-m.lgp,T,-3,-3.6
dotogether-c.lgp,T,-3,-3.4
dotogether-d.lgp,T,-2,-3.6
dotogether-f.lgp,T,-2,-3.1
dotogether-l.lgp,T,-1,-3.5
dotogether-j.lgp,T,-1,-2.1
dotogether-i.lgp,T,-1,-2.1
dotogether-h.lgp,T,1,-1.9000001
repeat-e.lgp,C,-3,-2.6
repeat-ee.lgp,C,-3,-2.9
repeat-f.lgp,C,1,-2.7
repeat-g.lgp,C,0,-1.5999999
repeat-a.lgp,C,-3,-2.5
repeat-dd.lgp,CbCe,-1,-1.5999999
repeat-hh.lgp,CbCe,3,-1.4000001
repeat-cc.lgp,CbCe,0,0.099999905
repeat-b.lgp,C,-2,-2.5
repeat-ii.lgp,CbCe,-2,0.8000002
repeat-ff.lgp,CbCe,-3,-0.29999995
repeat-i.lgp,CbTe,-3,-2.3
repeat-o.lgp,CbTe,-3,-2.9
repeat-j.lgp,CbTe,-3,-2.8
repeat-n.lgp,CbTe,-2,-2.8
repeat-l.lgp,TbCe,-3,0.3000002
repeat-w.lgp,TbCe,-3,-0.4000001
repeat-x.lgp,TbCe,-2,-0.79999995
repeat-q.lgp,TbCe,-1,-1.0999999
repeat-y.lgp,TbCe,2,-0.29999995
repeat-r.lgp,TbCe,2,1.4000001
repeat-p.lgp,TbCe,0,1.5999999
repeat-s.lgp,CbTe/TbCe,-3,-0.05000007
repeat-z.lgp,CbTe/TbCe,2,-0.4000001
repeat-aa.lgp,CbTe/TbCe,0,-0.5
doinorder-a.lgp,TbOe,-1,1.5
doinorder-f.lgp,TbOe,-2,-0.099999905
doinorder-l.lgp,TbOe,-2,1.1999998
doinorder-n.lgp,TbOe,-2,0.6999998
doinorder-b.lgp,TbOe,5,1.5999999
doinorder-w.lgp,TbOe,-3,1.0999999
doinorder-o.lgp,TbOe,5,2.6999998
doinorder-k.lgp,TbOe,-2,0.19999981
doinorder-g.lgp,TbOe,-1,-0.70000005
doinorder-x.lgp,TbOe,2,0.3000002
doinorder-d.lgp,TbOe,-1,0.5
doinorder-p.lgp,TbOe,-2,0.0
doinorder-q.lgp,TbOe,-2,0.0
doinorder-r.lgp,TbOe,-3,-0.9000001
doinorder-s.lgp,TbObTee,5,1.5999999
doinorder-o.lgp,TbOe,5,2.6999998
doinorder-s.lgp,TbObTee,5,1.5999999
doinorder-b.lgp,TbOe,5,1.5999999
doinorder-s.lgp,TbObTee,5,1.5999999
doinorder-o.lgp,TbOe,2,2.6999998
doinorder-y.lgp,TbOe,0,0.6999998
doinorder-z.lgp,TbObTee,0,2.5
doinorder-m.lgp,TbObTee,5,2.5
doinorder-t.lgp,TbObTee,1,2.5
doinorder-u.lgp,TbObTee,3,2.5
doinorder-cc.lgp,TbObTee,0,2.5
doinorder-e.lgp,TbObTee,0,2.1
doinorder-bb.lgp,TbObTee,3,3.0
doinorder-j.lgp,TbObTee,5,2.9
repeat-t.lgp,CbTe/TbCe,1,0.30000007
doinorder-v.lgp,TbObTee,1,2.9
doinorder-h.lgp,TbObTee,-1,2.5
repeat-bb.lgp,CbTe/TbCe,-2,0.14999998
integrative-h.lgp,TbOe,-3,-0.29999995
integrative-b.lgp,TbOe,-3,0.6999998
integrative-i.lgp,TbCOe,-2,-2.5
integrative-c.lgp,TbOe,-1,-0.29999995
integrative-g.lgp,TbObCee,0,-2.6
integrative-a.lgp,TbCOe,-2,-2.5
integrative-d.lgp,TbCObTee,5,5.0
integrative-e.lgp,TbOe,0,0.8000002
