puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-3.2
dotogether-o.lgp,T,5,-3.1
dotogether-b.lgp,T,-3,-0.79999995
dotogether-n.lgp,T,-4,-0.5
dotogether-m.lgp,T,-3,-0.5
dotogether-e.lgp,T,5,-1.5
dotogether-d.lgp,T,-4,-0.9000001
dotogether-c.lgp,T,-3,-1.5999999
dotogether-i.lgp,T,-1,-1.4000001
dotogether-l.lgp,T,-3,-1.3
dotogether-j.lgp,T,-3,-0.5
dotogether-k.lgp,T,-4,-0.70000005
dotogether-h.lgp,T,-3,-1.4000001
repeat-gg.lgp,C,-4,-3.5
repeat-e.lgp,C,-3,-3.5
repeat-ee.lgp,C,-4,-3.5
repeat-m.lgp,C,-3,-3.6
repeat-b.lgp,C,4,-2.7
repeat-f.lgp,C,-2,-3.0
repeat-a.lgp,C,-3,-2.8
repeat-dd.lgp,CbCe,-1,1.4000001
repeat-cc.lgp,CbCe,-3,2.4
repeat-hh.lgp,CbCe,-2,0.6999998
repeat-ff.lgp,CbCe,5,1.9000001
repeat-g.lgp,C,-3,-2.3
repeat-c.lgp,CbCe,-3,1.9000001
repeat-ff.lgp,CbCe,-3,1.9000001
repeat-j.lgp,CbTe,-4,-3.1
repeat-o.lgp,CbTe,-4,-3.1
repeat-w.lgp,TbCe,-4,-0.099999905
repeat-n.lgp,CbTe,-4,-2.7
repeat-q.lgp,TbCe,-4,-1.8
repeat-l.lgp,TbCe,-3,-1.8
repeat-y.lgp,TbCe,-4,-1.4000001
repeat-x.lgp,TbCe,-3,-0.5
repeat-s.lgp,CbTe/TbCe,-4,-1.35
repeat-r.lgp,TbCe,-1,-0.5
repeat-p.lgp,TbCe,-3,-1.5
repeat-i.lgp,CbTe,-4,-2.8
repeat-aa.lgp,CbTe/TbCe,-4,-2.3
doinorder-a.lgp,TbOe,-4,-1.4000001
doinorder-f.lgp,TbOe,-4,-2.0
doinorder-k.lgp,TbOe,-3,-2.0
doinorder-w.lgp,TbOe,-4,-1.7
doinorder-n.lgp,TbOe,-2,-1.4000001
doinorder-l.lgp,TbOe,-3,-2.4
doinorder-g.lgp,TbOe,-3,-1.5
doinorder-b.lgp,TbOe,5,-0.5999999
doinorder-q.lgp,TbOe,5,-0.70000005
doinorder-o.lgp,TbOe,5,0.8000002
doinorder-q.lgp,TbOe,5,-0.70000005
doinorder-b.lgp,TbOe,-3,-0.5999999
doinorder-x.lgp,TbOe,-2,-1.4000001
doinorder-p.lgp,TbOe,-4,-2.3
doinorder-d.lgp,TbOe,-3,-2.8
doinorder-r.lgp,TbOe,5,-2.9
doinorder-s.lgp,TbObTee,5,-0.9000001
doinorder-o.lgp,TbOe,0,0.8000002
doinorder-y.lgp,TbOe,-3,-1.7
