puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-3.0
dotogether-o.lgp,T,-2,-2.7
dotogether-m.lgp,T,-4,-3.5
dotogether-n.lgp,T,-4,-3.5
dotogether-b.lgp,T,-4,-3.7
dotogether-d.lgp,T,-2,-3.4
dotogether-e.lgp,T,-2,-2.8
dotogether-i.lgp,T,-1,-2.6
dotogether-f.lgp,T,5,-0.099999905
dotogether-l.lgp,T,-1,-1.0999999
dotogether-j.lgp,T,-1,-0.20000005
dotogether-g.lgp,T,-1,-0.20000005
dotogether-k.lgp,T,0,0.19999981
dotogether-c.lgp,T,-1,-0.099999905
dotogether-f.lgp,T,-1,-0.099999905
dotogether-h.lgp,T,5,-0.20000005
dotogether-h.lgp,T,-1,-0.20000005
repeat-e.lgp,C,-3,-2.7
repeat-m.lgp,C,-4,-2.8
repeat-f.lgp,C,-1,-1.9000001
repeat-a.lgp,C,-2,-2.9
repeat-g.lgp,C,-2,-2.6
repeat-cc.lgp,CbCe,-1,-0.70000005
repeat-hh.lgp,CbCe,-3,1.1999998
repeat-dd.lgp,CbCe,-3,0.5999999
repeat-ii.lgp,CbCe,-4,2.0
repeat-c.lgp,CbCe,-4,1.1999998
repeat-gg.lgp,C,-4,-3.6
repeat-ee.lgp,C,-4,-3.8
repeat-ff.lgp,CbCe,-3,0.4000001
repeat-j.lgp,CbTe,-3,-2.4
repeat-i.lgp,CbTe,5,-2.3
repeat-i.lgp,CbTe,-4,-2.3
repeat-n.lgp,CbTe,0,-1.9000001
repeat-o.lgp,CbTe,-3,-2.1
repeat-w.lgp,TbCe,-3,-2.4
repeat-x.lgp,TbCe,-3,-2.1
repeat-q.lgp,TbCe,-3,-2.2
repeat-l.lgp,TbCe,-3,-2.4
repeat-y.lgp,TbCe,0,-1.4000001
repeat-s.lgp,CbTe/TbCe,5,-1.65
repeat-s.lgp,CbTe/TbCe,-2,-1.65
repeat-r.lgp,TbCe,0,-1.5
repeat-z.lgp,CbTe/TbCe,5,-1.4
