puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-3.2
dotogether-m.lgp,T,-4,-2.8
dotogether-b.lgp,T,-4,-3.8
dotogether-e.lgp,T,-2,-3.3
dotogether-n.lgp,T,-4,-3.4
dotogether-d.lgp,T,-1,-3.3
dotogether-c.lgp,T,-4,-2.9
dotogether-l.lgp,T,-4,-3.5
dotogether-i.lgp,T,-4,-3.2
dotogether-j.lgp,T,-3,-3.6
dotogether-k.lgp,T,-4,-3.4
dotogether-h.lgp,T,-4,-3.2
repeat-ee.lgp,C,-4,-3.5
repeat-m.lgp,C,-2,-3.7
repeat-f.lgp,C,-4,-2.6
repeat-a.lgp,C,-4,-3.6
repeat-g.lgp,C,-4,-3.4
repeat-dd.lgp,CbCe,1,-0.9000001
repeat-hh.lgp,CbCe,-4,-0.79999995
repeat-c.lgp,CbCe,-2,-0.29999995
repeat-ff.lgp,CbCe,-4,-0.29999995
repeat-o.lgp,CbTe,-4,-3.0
repeat-j.lgp,CbTe,-3,-3.3
repeat-i.lgp,CbTe,-4,-3.5
repeat-w.lgp,TbCe,-2,-2.4
repeat-l.lgp,TbCe,-4,-2.7
repeat-q.lgp,TbCe,-4,-2.7
repeat-x.lgp,TbCe,-4,-2.6
repeat-n.lgp,CbTe,-4,-2.9
repeat-y.lgp,TbCe,-2,-2.8
repeat-s.lgp,CbTe/TbCe,-1,-3.0
repeat-r.lgp,TbCe,5,-0.79999995
repeat-z.lgp,CbTe/TbCe,-4,-1.1500001
repeat-aa.lgp,CbTe/TbCe,-4,-0.95000005
doinorder-n.lgp,TbOe,-2,-2.4
doinorder-f.lgp,TbOe,-4,-2.5
doinorder-k.lgp,TbOe,-4,-2.5
doinorder-a.lgp,TbOe,-4,-2.9
doinorder-l.lgp,TbOe,-4,-3.4
doinorder-b.lgp,TbOe,-3,-2.9
doinorder-w.lgp,TbOe,-4,-2.9
doinorder-o.lgp,TbOe,-2,-2.9
doinorder-g.lgp,TbOe,-4,-2.7
doinorder-d.lgp,TbOe,-4,-2.9
doinorder-x.lgp,TbOe,1,-2.9
doinorder-q.lgp,TbOe,-2,-2.2
doinorder-p.lgp,TbOe,-4,-3.0
doinorder-s.lgp,TbObTee,3,-1.0999999
doinorder-r.lgp,TbOe,-2,-2.0
doinorder-y.lgp,TbOe,-4,-3.1
doinorder-z.lgp,TbObTee,-3,-0.5
doinorder-u.lgp,TbObTee,-4,-0.70000005
doinorder-bb.lgp,TbObTee,4,-2.2
doinorder-cc.lgp,TbObTee,-2,-0.70000005
doinorder-v.lgp,TbObTee,5,-0.70000005
doinorder-h.lgp,TbObTee,-2,-1.4000001
doinorder-v.lgp,TbObTee,-4,-0.70000005
doinorder-j.lgp,TbObTee,-4,-2.2
doinorder-e.lgp,TbObTee,-4,-0.5999999
repeat-u.lgp,TbObTee,-4,-2.0
repeat-bb.lgp,CbTe/TbCe,0,-2.5
repeat-t.lgp,CbTe/TbCe,-4,-2.6
integrative-e.lgp,TbOe,-4,-2.9
integrative-h.lgp,TbOe,-4,-2.9
integrative-b.lgp,TbOe,-4,-2.8
integrative-f.lgp,TbCOe,-4,-2.5
integrative-c.lgp,TbOe,-4,-2.7
integrative-i.lgp,TbCOe,-4,-2.5
