puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-4,-1.8
dotogether-o.lgp,T,-1,-0.9000001
dotogether-m.lgp,T,-3,-0.79999995
dotogether-n.lgp,T,-4,-1.5
dotogether-a.lgp,T,-3,-1.5999999
dotogether-e.lgp,T,-1,-1.2
dotogether-c.lgp,T,5,-1.3
dotogether-d.lgp,T,-2,-0.5999999
dotogether-c.lgp,T,-1,-1.3
dotogether-l.lgp,T,-1,-1.9000001
dotogether-f.lgp,T,-1,-1.0
dotogether-k.lgp,T,5,0.099999905
dotogether-i.lgp,T,1,-0.70000005
dotogether-g.lgp,T,5,0.0
dotogether-j.lgp,T,-1,0.099999905
dotogether-h.lgp,T,-1,-0.099999905
repeat-gg.lgp,C,1,-2.8
repeat-f.lgp,C,1,-2.8
repeat-m.lgp,C,-1,-2.5
repeat-ee.lgp,C,-3,-2.4
repeat-a.lgp,C,-3,-2.6
repeat-e.lgp,C,-4,-3.0
repeat-dd.lgp,CbCe,5,3.5
repeat-g.lgp,C,1,-3.1
repeat-cc.lgp,CbCe,5,3.8000002
repeat-b.lgp,C,-1,-1.3
repeat-hh.lgp,CbCe,2,3.8000002
repeat-c.lgp,CbCe,5,2.3000002
repeat-dd.lgp,CbCe,5,3.5
repeat-cc.lgp,CbCe,5,3.8000002
repeat-c.lgp,CbCe,5,2.3000002
