puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-2.9
dotogether-b.lgp,T,-4,-3.2
dotogether-m.lgp,T,-4,-3.5
dotogether-n.lgp,T,-4,-3.8
dotogether-e.lgp,T,-2,-3.2
dotogether-c.lgp,T,-1,-3.2
dotogether-i.lgp,T,1,-2.7
dotogether-l.lgp,T,-4,-2.7
dotogether-j.lgp,T,-2,-2.3
dotogether-k.lgp,T,-4,-2.8
dotogether-h.lgp,T,-4,-3.3
repeat-gg.lgp,C,-4,-3.4
repeat-e.lgp,C,-3,-3.6
repeat-m.lgp,C,-4,-3.6
repeat-a.lgp,C,-4,-3.7
repeat-b.lgp,C,-3,-3.4
repeat-cc.lgp,CbCe,-1,-1.8
repeat-hh.lgp,CbCe,1,-0.9000001
repeat-c.lgp,CbCe,-2,-0.20000005
repeat-ii.lgp,CbCe,-4,-1.0
repeat-ee.lgp,C,-4,-3.1
repeat-f.lgp,C,-4,-3.6
repeat-ff.lgp,CbCe,1,-1.9000001
repeat-i.lgp,CbTe,-4,-3.2
repeat-j.lgp,CbTe,-4,-3.0
repeat-o.lgp,CbTe,-4,-3.2
repeat-w.lgp,TbCe,-3,-2.7
repeat-l.lgp,TbCe,-3,-2.6
repeat-x.lgp,TbCe,-2,-2.7
repeat-p.lgp,TbCe,-4,-2.8
repeat-r.lgp,TbCe,-3,-2.6
repeat-z.lgp,CbTe/TbCe,-4,-3.1
repeat-s.lgp,CbTe/TbCe,-4,-3.0
repeat-aa.lgp,CbTe/TbCe,-4,-3.05
doinorder-a.lgp,TbOe,-4,-3.4
doinorder-k.lgp,TbOe,-4,-3.5
doinorder-f.lgp,TbOe,-4,-3.5
doinorder-w.lgp,TbOe,-4,-3.5
doinorder-b.lgp,TbOe,-3,-2.6
doinorder-o.lgp,TbOe,-3,-2.6
doinorder-g.lgp,TbOe,-3,-3.4
doinorder-x.lgp,TbOe,2,-3.4
doinorder-q.lgp,TbOe,0,-2.3
doinorder-r.lgp,TbOe,-4,-2.1
