puzzle,model,cogLoad,predicted
dotogether-n.lgp,T,-4,-2.6
dotogether-m.lgp,T,-2,-2.0
dotogether-b.lgp,T,-3,-2.6
dotogether-a.lgp,T,-4,-3.2
dotogether-o.lgp,T,1,-3.4
dotogether-c.lgp,T,-4,-2.6
dotogether-e.lgp,T,3,-2.9
dotogether-d.lgp,T,0,-1.3
dotogether-f.lgp,T,-1,-1.5999999
dotogether-i.lgp,T,0,-1.9000001
dotogether-l.lgp,T,-4,-1.8
dotogether-g.lgp,T,1,-2.2
dotogether-k.lgp,T,3,-1.5
dotogether-j.lgp,T,3,-1.5
dotogether-h.lgp,T,4,-0.70000005
repeat-ee.lgp,C,-4,-2.6
repeat-gg.lgp,C,-1,-2.8
repeat-e.lgp,C,-2,-2.3
repeat-f.lgp,C,-3,-2.8
repeat-m.lgp,C,-4,-3.1
repeat-b.lgp,C,1,-2.2
repeat-g.lgp,C,-2,-2.9
repeat-a.lgp,C,-1,-2.3
repeat-dd.lgp,CbCe,1,-1.4000001
repeat-cc.lgp,CbCe,-4,-1.5999999
repeat-ii.lgp,CbCe,-2,-1.0999999
repeat-hh.lgp,CbCe,1,-1.2
repeat-c.lgp,CbCe,0,-1.8
repeat-ff.lgp,CbCe,0,-0.70000005
repeat-o.lgp,CbTe,-4,-2.3
repeat-j.lgp,CbTe,-3,-1.9000001
repeat-i.lgp,CbTe,-4,-0.79999995
repeat-n.lgp,CbTe,1,-1.9000001
repeat-w.lgp,TbCe,3,0.9000001
repeat-q.lgp,TbCe,-1,0.4000001
repeat-x.lgp,TbCe,-2,1.5
repeat-l.lgp,TbCe,-1,1.0999999
repeat-y.lgp,TbCe,-1,0.099999905
repeat-r.lgp,TbCe,1,0.19999981
repeat-p.lgp,TbCe,-1,0.4000001
repeat-z.lgp,CbTe/TbCe,-2,-0.44999993
repeat-s.lgp,CbTe/TbCe,3,-0.6
repeat-aa.lgp,CbTe/TbCe,1,-0.9499999
doinorder-n.lgp,TbOe,-2,0.5
doinorder-k.lgp,TbOe,-4,-1.7
doinorder-a.lgp,TbOe,-4,-1.3
doinorder-l.lgp,TbOe,-3,-1.5
doinorder-f.lgp,TbOe,-2,-2.3
doinorder-b.lgp,TbOe,-1,0.0
doinorder-o.lgp,TbOe,3,-0.79999995
doinorder-g.lgp,TbOe,-2,1.0
doinorder-w.lgp,TbOe,-3,-0.70000005
doinorder-d.lgp,TbOe,-1,-1.4000001
doinorder-q.lgp,TbOe,0,0.0
doinorder-p.lgp,TbOe,-2,-1.4000001
doinorder-x.lgp,TbOe,-4,-0.9000001
doinorder-y.lgp,TbOe,-4,-1.8
doinorder-s.lgp,TbObTee,-4,0.0
doinorder-r.lgp,TbOe,1,-1.0999999
doinorder-z.lgp,TbObTee,3,0.8000002
doinorder-t.lgp,TbObTee,0,-0.5
doinorder-m.lgp,TbObTee,5,2.5
doinorder-m.lgp,TbObTee,4,2.5
doinorder-u.lgp,TbObTee,-4,2.5
doinorder-v.lgp,TbObTee,-3,1.8000002
doinorder-cc.lgp,TbObTee,5,-1.7
doinorder-bb.lgp,TbObTee,5,-1.7
doinorder-h.lgp,TbObTee,2,0.5999999
doinorder-j.lgp,TbObTee,-1,1.1999998
doinorder-e.lgp,TbObTee,-3,-0.9000001
doinorder-cc.lgp,TbObTee,5,-1.7
doinorder-cc.lgp,TbObTee,-2,-1.7
doinorder-bb.lgp,TbObTee,-1,-1.7
repeat-bb.lgp,CbTe/TbCe,5,-1.05
repeat-u.lgp,TbObTee,-4,-0.5999999
integrative-e.lgp,TbOe,-4,-1.2
repeat-t.lgp,CbTe/TbCe,0,-0.95000005
integrative-b.lgp,TbOe,0,0.8000002
integrative-h.lgp,TbOe,0,0.4000001
integrative-i.lgp,TbCOe,1,-2.5
integrative-f.lgp,TbCOe,5,-2.5
repeat-bb.lgp,CbTe/TbCe,4,-1.05
integrative-c.lgp,TbOe,5,2.0
