puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-2.8
dotogether-o.lgp,T,-2,-2.2
dotogether-n.lgp,T,-4,-3.0
dotogether-b.lgp,T,-4,-3.7
dotogether-e.lgp,T,-1,-3.1
dotogether-m.lgp,T,-3,-3.3
dotogether-c.lgp,T,-3,-3.0
dotogether-d.lgp,T,-2,-3.4
dotogether-i.lgp,T,-1,-2.9
dotogether-f.lgp,T,1,-2.7
dotogether-k.lgp,T,1,-1.4000001
dotogether-g.lgp,T,0,-1.7
dotogether-h.lgp,T,2,-1.4000001
repeat-gg.lgp,C,-2,-2.4
repeat-ee.lgp,C,-4,-2.5
repeat-m.lgp,C,-3,-2.9
repeat-e.lgp,C,-3,-3.0
repeat-f.lgp,C,0,-3.2
repeat-g.lgp,C,-3,-1.5999999
repeat-b.lgp,C,0,-1.9000001
repeat-a.lgp,C,2,-2.5
repeat-dd.lgp,CbCe,5,1.6999998
repeat-dd.lgp,CbCe,4,1.6999998
repeat-cc.lgp,CbCe,1,2.3000002
repeat-ii.lgp,CbCe,-3,2.1
repeat-ff.lgp,CbCe,-2,1.3000002
repeat-j.lgp,CbTe,-4,-1.7
repeat-o.lgp,CbTe,-3,-2.7
repeat-i.lgp,CbTe,-4,-2.9
repeat-n.lgp,CbTe,0,-2.6
repeat-w.lgp,TbCe,-2,0.8000002
repeat-q.lgp,TbCe,0,2.4
repeat-x.lgp,TbCe,0,2.6
repeat-p.lgp,TbCe,-3,2.6999998
repeat-r.lgp,TbCe,0,2.6999998
repeat-y.lgp,TbCe,5,1.6999998
repeat-s.lgp,CbTe/TbCe,-1,0.8499999
repeat-aa.lgp,CbTe/TbCe,5,-0.1500001
repeat-z.lgp,CbTe/TbCe,0,0.25
repeat-y.lgp,TbCe,1,1.6999998
repeat-aa.lgp,CbTe/TbCe,-1,-0.1500001
doinorder-l.lgp,TbOe,-2,1.4000001
doinorder-a.lgp,TbOe,-2,-0.70000005
doinorder-f.lgp,TbOe,-3,-2.0
doinorder-k.lgp,TbOe,-4,-2.0
doinorder-n.lgp,TbOe,-4,-1.3
doinorder-o.lgp,TbOe,1,-0.70000005
doinorder-g.lgp,TbOe,-4,0.099999905
doinorder-x.lgp,TbOe,0,-1.5
doinorder-w.lgp,TbOe,-3,0.4000001
doinorder-p.lgp,TbOe,-3,-1.8
doinorder-q.lgp,TbOe,0,-1.3
doinorder-b.lgp,TbOe,0,-0.5999999
doinorder-d.lgp,TbOe,-1,0.3000002
doinorder-r.lgp,TbOe,5,0.4000001
doinorder-y.lgp,TbOe,-4,0.5
doinorder-s.lgp,TbObTee,0,-0.20000005
doinorder-z.lgp,TbObTee,1,-0.29999995
doinorder-t.lgp,TbObTee,-1,-0.29999995
doinorder-m.lgp,TbObTee,0,-0.9000001
doinorder-u.lgp,TbObTee,-3,1.0999999
doinorder-j.lgp,TbObTee,-3,-0.79999995
doinorder-h.lgp,TbObTee,-2,-0.5
doinorder-bb.lgp,TbObTee,0,0.6999998
doinorder-e.lgp,TbObTee,-4,-1.3
doinorder-cc.lgp,TbObTee,-2,-1.5
doinorder-v.lgp,TbObTee,-2,-1.5
repeat-u.lgp,TbObTee,0,0.5
repeat-bb.lgp,CbTe/TbCe,5,0.5
repeat-t.lgp,CbTe/TbCe,0,0.45000005
repeat-bb.lgp,CbTe/TbCe,1,0.5
integrative-h.lgp,TbOe,-3,0.5999999
integrative-e.lgp,TbOe,-4,-1.2
integrative-b.lgp,TbOe,-4,-1.0999999
integrative-f.lgp,TbCOe,-1,-2.5
integrative-c.lgp,TbOe,-1,-1.0
integrative-i.lgp,TbCOe,-1,-2.5
integrative-g.lgp,TbObCee,-2,-2.6
integrative-a.lgp,TbCOe,-2,-2.5
