puzzle,model,cogLoad,predicted
dotogether-o.lgp,T,-1,-2.8
dotogether-n.lgp,T,-3,-2.8
dotogether-b.lgp,T,-3,-3.2
dotogether-m.lgp,T,-3,-3.2
dotogether-e.lgp,T,-1,-2.9
dotogether-c.lgp,T,-3,-3.0
dotogether-d.lgp,T,-2,-3.3
dotogether-l.lgp,T,-3,-3.1
dotogether-i.lgp,T,0,-2.9
dotogether-f.lgp,T,1,-2.2
dotogether-g.lgp,T,0,-1.7
dotogether-j.lgp,T,1,-1.4000001
dotogether-k.lgp,T,2,-1.4000001
dotogether-a.lgp,T,-3,-1.5999999
dotogether-h.lgp,T,-3,-0.5
repeat-ee.lgp,C,-3,-2.9
repeat-gg.lgp,C,-1,-3.1
repeat-m.lgp,C,-2,-2.9
repeat-f.lgp,C,1,-2.4
repeat-a.lgp,C,-1,-2.6
repeat-g.lgp,C,0,-2.4
repeat-dd.lgp,CbCe,3,-0.20000005
repeat-hh.lgp,CbCe,3,-0.9000001
repeat-c.lgp,CbCe,0,1.0
repeat-ff.lgp,CbCe,0,1.1999998
repeat-o.lgp,CbTe,-2,-2.6
repeat-i.lgp,CbTe,5,-2.3
repeat-j.lgp,CbTe,-3,-2.3
repeat-n.lgp,CbTe,-1,-2.4
repeat-x.lgp,TbCe,-1,0.3000002
repeat-w.lgp,TbCe,0,1.1999998
repeat-y.lgp,TbCe,5,0.4000001
repeat-r.lgp,TbCe,0,0.5
repeat-s.lgp,CbTe/TbCe,2,-0.95000005
repeat-z.lgp,CbTe/TbCe,2,-0.95000005
repeat-aa.lgp,CbTe/TbCe,-1,-0.75
doinorder-n.lgp,TbOe,-1,-1.0
doinorder-f.lgp,TbOe,-3,0.0
doinorder-a.lgp,TbOe,-2,-2.3
doinorder-w.lgp,TbOe,5,-0.5
doinorder-o.lgp,TbOe,5,1.8000002
doinorder-l.lgp,TbOe,-3,0.5999999
doinorder-b.lgp,TbOe,5,2.3000002
doinorder-o.lgp,TbOe,5,1.8000002
doinorder-k.lgp,TbOe,-3,-0.099999905
doinorder-w.lgp,TbOe,3,-0.5
doinorder-g.lgp,TbOe,-1,-0.099999905
doinorder-x.lgp,TbOe,2,0.9000001
doinorder-s.lgp,TbObTee,5,2.8000002
doinorder-d.lgp,TbOe,5,1.0
doinorder-p.lgp,TbOe,-2,-1.4000001
doinorder-r.lgp,TbOe,0,-0.70000005
doinorder-s.lgp,TbObTee,5,2.8000002
doinorder-d.lgp,TbOe,-2,1.0
doinorder-y.lgp,TbOe,-2,-0.5999999
doinorder-m.lgp,TbObTee,5,3.0
doinorder-q.lgp,TbOe,5,3.1999998
doinorder-q.lgp,TbOe,3,3.1999998
doinorder-z.lgp,TbObTee,5,2.8000002
doinorder-b.lgp,TbOe,5,2.3000002
doinorder-o.lgp,TbOe,5,1.8000002
doinorder-b.lgp,TbOe,0,2.3000002
doinorder-m.lgp,TbObTee,5,3.0
doinorder-t.lgp,TbObTee,-2,2.1999998
doinorder-z.lgp,TbObTee,5,2.8000002
doinorder-m.lgp,TbObTee,5,3.0
doinorder-z.lgp,TbObTee,5,2.8000002
doinorder-s.lgp,TbObTee,5,2.8000002
