puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-3.2
dotogether-o.lgp,T,-2,-3.0
dotogether-n.lgp,T,-2,-3.2
dotogether-e.lgp,T,0,-2.9
dotogether-b.lgp,T,-3,-2.4
dotogether-m.lgp,T,-3,-2.5
dotogether-d.lgp,T,-2,-2.9
dotogether-c.lgp,T,1,-3.2
dotogether-l.lgp,T,-2,-2.2
dotogether-i.lgp,T,2,-1.7
dotogether-f.lgp,T,-1,-1.7
dotogether-g.lgp,T,-3,-1.7
dotogether-j.lgp,T,-3,-2.0
dotogether-k.lgp,T,-4,-1.9000001
dotogether-h.lgp,T,2,-2.1
repeat-gg.lgp,C,-3,-3.2
repeat-ee.lgp,C,-3,-3.3
repeat-f.lgp,C,-2,-3.3
repeat-m.lgp,C,-3,-2.6
repeat-e.lgp,C,-1,-3.0
repeat-a.lgp,C,-1,-2.9
repeat-dd.lgp,CbCe,-2,-1.7
repeat-b.lgp,C,-2,-2.3
repeat-g.lgp,C,-1,-2.4
repeat-hh.lgp,CbCe,1,-2.1
repeat-cc.lgp,CbCe,-2,-1.9000001
repeat-ii.lgp,CbCe,-2,-1.4000001
repeat-c.lgp,CbCe,-2,-1.3
repeat-ff.lgp,CbCe,-2,-1.4000001
repeat-i.lgp,CbTe,-3,-2.0
repeat-j.lgp,CbTe,-3,-2.0
repeat-o.lgp,CbTe,-1,-2.3
repeat-w.lgp,TbCe,0,-0.5
repeat-l.lgp,TbCe,-2,0.9000001
repeat-q.lgp,TbCe,-3,0.5999999
repeat-x.lgp,TbCe,2,-0.20000005
repeat-r.lgp,TbCe,2,1.1999998
repeat-z.lgp,CbTe/TbCe,5,-0.44999993
repeat-n.lgp,CbTe,-2,-2.3
repeat-p.lgp,TbCe,2,-0.099999905
repeat-y.lgp,TbCe,1,-0.5999999
repeat-z.lgp,CbTe/TbCe,3,-0.44999993
repeat-aa.lgp,CbTe/TbCe,-2,-0.75
doinorder-a.lgp,TbOe,-4,0.099999905
doinorder-k.lgp,TbOe,-3,-1.5
doinorder-l.lgp,TbOe,-4,-1.0999999
doinorder-n.lgp,TbOe,1,-1.2
doinorder-f.lgp,TbOe,-3,-1.5
doinorder-w.lgp,TbOe,0,-1.0
doinorder-o.lgp,TbOe,2,1.4000001
doinorder-g.lgp,TbOe,-1,-0.5
doinorder-d.lgp,TbOe,-2,0.099999905
doinorder-x.lgp,TbOe,3,-0.099999905
doinorder-q.lgp,TbOe,2,-0.5
doinorder-p.lgp,TbOe,-1,0.3000002
doinorder-s.lgp,TbObTee,-2,0.5999999
doinorder-m.lgp,TbObTee,4,-0.20000005
doinorder-y.lgp,TbOe,5,-0.099999905
doinorder-r.lgp,TbOe,-2,0.3000002
doinorder-y.lgp,TbOe,-3,-0.099999905
doinorder-u.lgp,TbObTee,-3,-1.0999999
doinorder-v.lgp,TbObTee,-4,-1.0999999
doinorder-h.lgp,TbObTee,3,-0.9000001
doinorder-j.lgp,TbObTee,1,-0.099999905
doinorder-bb.lgp,TbObTee,-2,-1.3
doinorder-e.lgp,TbObTee,-3,0.5
doinorder-cc.lgp,TbObTee,5,1.5999999
repeat-u.lgp,TbObTee,-3,1.3000002
repeat-t.lgp,CbTe/TbCe,0,-1.5
repeat-bb.lgp,CbTe/TbCe,2,-1.35
integrative-h.lgp,TbOe,0,-0.79999995
integrative-i.lgp,TbCOe,-3,-2.5
integrative-b.lgp,TbOe,-2,-1.4000001
integrative-e.lgp,TbOe,-2,-2.4
integrative-c.lgp,TbOe,2,-0.29999995
integrative-f.lgp,TbCOe,-1,-2.5
integrative-d.lgp,TbCObTee,5,5.0
integrative-a.lgp,TbCOe,1,-2.5
integrative-g.lgp,TbObCee,-1,-2.6
