puzzle,model,cogLoad,predicted
dotogether-m.lgp,T,1,-1.0999999
dotogether-a.lgp,T,-4,-1.4000001
dotogether-n.lgp,T,-4,-1.0
dotogether-o.lgp,T,1,-1.9000001
dotogether-e.lgp,T,1,-1.5
dotogether-c.lgp,T,-1,-1.3
dotogether-i.lgp,T,-4,-1.3
dotogether-f.lgp,T,-1,-1.5
dotogether-l.lgp,T,-1,-1.8
dotogether-b.lgp,T,1,-2.0
dotogether-g.lgp,T,-4,-0.5
dotogether-k.lgp,T,1,-1.5999999
dotogether-d.lgp,T,1,-1.2
dotogether-j.lgp,T,1,-1.3
dotogether-h.lgp,T,1,-0.5999999
repeat-e.lgp,C,-1,-2.8
repeat-ee.lgp,C,-3,-2.6
repeat-gg.lgp,C,-1,-2.9
repeat-m.lgp,C,1,-2.6
repeat-a.lgp,C,1,-2.7
repeat-b.lgp,C,0,-2.1
repeat-g.lgp,C,0,-2.4
repeat-cc.lgp,CbCe,-1,0.5999999
repeat-ii.lgp,CbCe,5,2.6
repeat-hh.lgp,CbCe,5,2.8000002
repeat-f.lgp,C,5,-1.5999999
repeat-dd.lgp,CbCe,-1,1.6999998
repeat-ii.lgp,CbCe,5,2.6
repeat-hh.lgp,CbCe,1,2.8000002
repeat-ff.lgp,CbCe,5,3.0
repeat-ii.lgp,CbCe,1,2.6
repeat-f.lgp,C,1,-1.5999999
