puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-4,-2.5
dotogether-n.lgp,T,-4,-3.2
dotogether-a.lgp,T,-4,-3.6
dotogether-o.lgp,T,-4,-3.7
dotogether-m.lgp,T,-4,-3.7
dotogether-d.lgp,T,-2,-3.7
dotogether-c.lgp,T,1,-3.4
dotogether-e.lgp,T,0,-1.8
dotogether-l.lgp,T,-3,-2.2
dotogether-i.lgp,T,1,-1.8
dotogether-f.lgp,T,-3,-1.9000001
dotogether-g.lgp,T,-3,-2.8
dotogether-h.lgp,T,-2,-2.3
repeat-e.lgp,C,-2,-2.9
repeat-f.lgp,C,-3,-3.0
repeat-m.lgp,C,-4,-3.0
repeat-g.lgp,C,-3,-2.7
repeat-cc.lgp,CbCe,-1,-1.7
repeat-dd.lgp,CbCe,-3,-1.9000001
repeat-b.lgp,C,-2,-3.0
repeat-ii.lgp,CbCe,-1,-1.5999999
repeat-hh.lgp,CbCe,0,-1.5999999
repeat-gg.lgp,C,-4,-2.9
repeat-a.lgp,C,-4,-3.1
repeat-ff.lgp,CbCe,-4,-2.0
repeat-o.lgp,CbTe,-3,-3.1
repeat-j.lgp,CbTe,-3,-3.1
repeat-i.lgp,CbTe,-3,-2.9
repeat-l.lgp,TbCe,-3,0.5
repeat-n.lgp,CbTe,-2,-0.9000001
repeat-w.lgp,TbCe,-2,-0.5
repeat-x.lgp,TbCe,-2,-1.2
repeat-y.lgp,TbCe,-2,-1.4000001
repeat-r.lgp,TbCe,-2,-0.70000005
repeat-s.lgp,CbTe/TbCe,5,-0.6
repeat-q.lgp,TbCe,-3,0.19999981
repeat-p.lgp,TbCe,-3,-0.70000005
repeat-z.lgp,CbTe/TbCe,1,-0.14999998
repeat-s.lgp,CbTe/TbCe,1,-0.6
repeat-aa.lgp,CbTe/TbCe,-4,-1.4000001
doinorder-n.lgp,TbOe,-2,-1.8
doinorder-a.lgp,TbOe,-3,-1.8
doinorder-k.lgp,TbOe,-4,-2.3
doinorder-w.lgp,TbOe,-4,-2.1
doinorder-f.lgp,TbOe,-4,-1.9000001
doinorder-l.lgp,TbOe,-4,-1.9000001
doinorder-o.lgp,TbOe,-1,-0.5
doinorder-x.lgp,TbOe,-4,-2.0
doinorder-g.lgp,TbOe,-4,-1.3
doinorder-b.lgp,TbOe,-3,-1.5
doinorder-p.lgp,TbOe,-4,-2.1
doinorder-d.lgp,TbOe,-2,-2.1
doinorder-y.lgp,TbOe,-4,-2.1
doinorder-s.lgp,TbObTee,-4,-0.79999995
