puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-2,-2.4
dotogether-b.lgp,T,-1,-2.1
dotogether-n.lgp,T,-4,-1.8
dotogether-e.lgp,T,-3,-1.9000001
dotogether-m.lgp,T,-2,-2.4
dotogether-c.lgp,T,-2,-1.7
dotogether-d.lgp,T,-4,-0.4000001
dotogether-l.lgp,T,-4,-0.5
dotogether-i.lgp,T,-4,-1.0999999
dotogether-k.lgp,T,-4,-0.9000001
dotogether-f.lgp,T,-4,-1.0
dotogether-g.lgp,T,-4,-1.5999999
dotogether-h.lgp,T,5,0.5
dotogether-h.lgp,T,-2,0.5
repeat-ee.lgp,C,-4,-3.0
repeat-f.lgp,C,5,-2.2
repeat-e.lgp,C,5,-2.6
repeat-gg.lgp,C,-4,-2.7
repeat-f.lgp,C,5,-2.2
repeat-e.lgp,C,5,-2.6
repeat-m.lgp,C,-3,-2.9
repeat-a.lgp,C,5,-2.7
repeat-b.lgp,C,5,-2.5
repeat-f.lgp,C,5,-2.2
repeat-f.lgp,C,0,-2.2
repeat-g.lgp,C,-4,-2.1
repeat-a.lgp,C,5,-2.7
repeat-e.lgp,C,-4,-2.6
