puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-3.2
dotogether-b.lgp,T,-3,-3.6
dotogether-m.lgp,T,-3,-3.3
dotogether-n.lgp,T,-4,-3.4
dotogether-o.lgp,T,-2,-3.5
dotogether-c.lgp,T,-2,-3.1
dotogether-d.lgp,T,-2,-2.7
dotogether-e.lgp,T,-3,-2.0
dotogether-l.lgp,T,-3,-3.4
dotogether-i.lgp,T,-1,-3.0
dotogether-f.lgp,T,-1,-2.9
dotogether-k.lgp,T,0,-2.2
dotogether-h.lgp,T,1,-1.5999999
repeat-e.lgp,C,-2,-3.1
repeat-m.lgp,C,-3,-2.8
repeat-f.lgp,C,-3,-2.0
repeat-a.lgp,C,-3,-3.3
repeat-g.lgp,C,-4,-3.3
repeat-b.lgp,C,-3,-2.8
repeat-gg.lgp,C,-3,-3.1
repeat-cc.lgp,CbCe,-2,0.0
repeat-ii.lgp,CbCe,-2,-0.20000005
repeat-c.lgp,CbCe,-2,0.0
repeat-ff.lgp,CbCe,-1,-0.099999905
repeat-o.lgp,CbTe,-3,-2.2
repeat-j.lgp,CbTe,-2,-2.3
repeat-i.lgp,CbTe,-2,-1.4000001
repeat-n.lgp,CbTe,-2,-1.3
repeat-w.lgp,TbCe,-1,-0.29999995
repeat-l.lgp,TbCe,-2,-0.9000001
repeat-q.lgp,TbCe,5,0.5999999
repeat-x.lgp,TbCe,-2,1.0
repeat-y.lgp,TbCe,5,-0.099999905
repeat-q.lgp,TbCe,4,0.5999999
repeat-r.lgp,TbCe,-1,0.9000001
repeat-y.lgp,TbCe,0,-0.099999905
repeat-p.lgp,TbCe,-1,0.5
repeat-z.lgp,CbTe/TbCe,0,-0.39999998
repeat-s.lgp,CbTe/TbCe,2,-0.6
repeat-aa.lgp,CbTe/TbCe,0,-0.85000014
doinorder-n.lgp,TbOe,0,-0.29999995
doinorder-a.lgp,TbOe,1,-0.79999995
doinorder-l.lgp,TbOe,-1,-1.7
doinorder-f.lgp,TbOe,-1,-1.5999999
doinorder-k.lgp,TbOe,0,-1.5999999
doinorder-w.lgp,TbOe,-2,-0.9000001
doinorder-b.lgp,TbOe,0,-0.5
doinorder-o.lgp,TbOe,2,0.0
doinorder-g.lgp,TbOe,5,-0.5
doinorder-s.lgp,TbObTee,0,2.1999998
doinorder-y.lgp,TbOe,-1,-1.5999999
doinorder-r.lgp,TbOe,1,-1.0999999
doinorder-z.lgp,TbObTee,1,1.4000001
