puzzle,model,cogLoad,predicted
dotogether-m.lgp,T,-1,-1.3
dotogether-o.lgp,T,-1,-0.5999999
dotogether-b.lgp,T,-1,-0.29999995
dotogether-n.lgp,T,-4,-0.099999905
dotogether-a.lgp,T,-4,-0.70000005
dotogether-e.lgp,T,-4,-2.1
dotogether-c.lgp,T,-1,-2.3
dotogether-i.lgp,T,-3,-1.2
dotogether-f.lgp,T,-1,-1.0
dotogether-k.lgp,T,-1,-0.099999905
dotogether-l.lgp,T,-1,-0.70000005
dotogether-h.lgp,T,-1,-0.20000005
repeat-ee.lgp,C,-4,-2.7
repeat-gg.lgp,C,-4,-3.3
repeat-e.lgp,C,-1,-2.7
repeat-m.lgp,C,-4,-2.7
repeat-a.lgp,C,-1,-2.7
repeat-b.lgp,C,-1,-2.5
repeat-cc.lgp,CbCe,-1,1.5
repeat-hh.lgp,CbCe,-1,2.3000002
repeat-ii.lgp,CbCe,5,3.4
repeat-c.lgp,CbCe,5,3.3000002
repeat-g.lgp,C,-1,-1.9000001
repeat-dd.lgp,CbCe,5,3.4
repeat-dd.lgp,CbCe,5,3.4
repeat-ii.lgp,CbCe,-1,3.4
repeat-ff.lgp,CbCe,-4,3.4
repeat-o.lgp,CbTe,-4,-1.9000001
repeat-i.lgp,CbTe,-4,-3.0
repeat-j.lgp,CbTe,-4,-3.0
repeat-n.lgp,CbTe,5,-1.0
repeat-q.lgp,TbCe,5,0.6999998
repeat-l.lgp,TbCe,5,2.6999998
repeat-q.lgp,TbCe,-4,0.6999998
repeat-w.lgp,TbCe,-1,0.0
repeat-x.lgp,TbCe,-4,-0.20000005
repeat-y.lgp,TbCe,-2,-1.0
repeat-r.lgp,TbCe,5,2.1
repeat-r.lgp,TbCe,5,2.1
repeat-n.lgp,CbTe,-4,-1.0
repeat-r.lgp,TbCe,5,2.1
repeat-l.lgp,TbCe,-1,2.6999998
repeat-s.lgp,CbTe/TbCe,5,-0.29999995
repeat-s.lgp,CbTe/TbCe,5,-0.29999995
repeat-s.lgp,CbTe/TbCe,2,-0.29999995
repeat-z.lgp,CbTe/TbCe,-4,-1.6999999
repeat-aa.lgp,CbTe/TbCe,-4,-1.0500001
doinorder-a.lgp,TbOe,-4,-2.1
doinorder-f.lgp,TbOe,-4,-2.6
doinorder-k.lgp,TbOe,-4,-2.6
doinorder-w.lgp,TbOe,5,-1.5999999
doinorder-n.lgp,TbOe,5,0.19999981
doinorder-l.lgp,TbOe,5,2.5
doinorder-l.lgp,TbOe,5,2.5
doinorder-l.lgp,TbOe,-1,2.5
