puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-2.5
dotogether-m.lgp,T,-3,-3.0
dotogether-o.lgp,T,-2,-3.1
dotogether-b.lgp,T,-4,-3.2
dotogether-n.lgp,T,-4,-3.5
dotogether-c.lgp,T,-4,-3.4
dotogether-e.lgp,T,-2,-3.3
dotogether-d.lgp,T,-3,-3.4
dotogether-l.lgp,T,-2,-3.4
dotogether-i.lgp,T,1,-3.1
dotogether-f.lgp,T,0,-2.5
dotogether-g.lgp,T,-1,-2.1
dotogether-k.lgp,T,2,-1.4000001
dotogether-j.lgp,T,-1,-0.9000001
dotogether-h.lgp,T,-1,-0.9000001
repeat-ee.lgp,C,-3,-2.4
repeat-gg.lgp,C,-2,-2.7
repeat-f.lgp,C,1,-3.0
repeat-m.lgp,C,-2,-2.5
repeat-e.lgp,C,0,-2.7
repeat-g.lgp,C,-4,-2.7
repeat-b.lgp,C,2,-1.9000001
repeat-a.lgp,C,1,-2.8
repeat-cc.lgp,CbCe,-2,0.6999998
repeat-dd.lgp,CbCe,3,-0.29999995
repeat-hh.lgp,CbCe,1,0.19999981
repeat-c.lgp,CbCe,1,-0.099999905
repeat-ii.lgp,CbCe,2,0.0
repeat-ff.lgp,CbCe,5,1.6999998
repeat-ff.lgp,CbCe,2,1.6999998
repeat-o.lgp,CbTe,-3,-2.5
repeat-i.lgp,CbTe,-4,-2.6
repeat-j.lgp,CbTe,-2,-1.5
repeat-n.lgp,CbTe,-3,-2.8
repeat-l.lgp,TbCe,3,1.0
repeat-w.lgp,TbCe,1,2.5
repeat-q.lgp,TbCe,0,3.1
repeat-x.lgp,TbCe,1,3.6
repeat-p.lgp,TbCe,-2,3.1999998
repeat-r.lgp,TbCe,-2,2.5
repeat-s.lgp,CbTe/TbCe,3,0.24999988
repeat-aa.lgp,CbTe/TbCe,0,-0.60000014
doinorder-n.lgp,TbOe,5,0.19999981
doinorder-a.lgp,TbOe,0,-0.5
doinorder-f.lgp,TbOe,-2,-1.3
doinorder-k.lgp,TbOe,-1,-2.2
doinorder-w.lgp,TbOe,-1,-0.4000001
doinorder-b.lgp,TbOe,-2,0.0
doinorder-bb.lgp,TbObTee,5,-0.099999905
doinorder-v.lgp,TbObTee,-3,1.3000002
doinorder-cc.lgp,TbObTee,5,1.1999998
doinorder-bb.lgp,TbObTee,5,-0.099999905
