puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,1,-2.7
dotogether-m.lgp,T,-4,-2.5
dotogether-o.lgp,T,-2,-2.7
dotogether-e.lgp,T,3,-2.7
dotogether-a.lgp,T,-4,-1.9000001
dotogether-d.lgp,T,1,-1.0999999
dotogether-f.lgp,T,-4,-1.2
dotogether-l.lgp,T,-3,-2.0
dotogether-k.lgp,T,-4,-2.0
dotogether-j.lgp,T,-3,-2.3
dotogether-h.lgp,T,-3,-2.1
repeat-ee.lgp,C,-4,-3.5
repeat-f.lgp,C,-2,-3.3
repeat-m.lgp,C,-3,-3.1
repeat-b.lgp,C,-1,-2.2
repeat-g.lgp,C,1,-2.6
repeat-e.lgp,C,-1,-2.5
repeat-dd.lgp,CbCe,5,2.1
repeat-a.lgp,C,5,-1.8
repeat-a.lgp,C,-4,-1.8
repeat-cc.lgp,CbCe,1,2.4
repeat-dd.lgp,CbCe,5,2.1
repeat-ii.lgp,CbCe,5,2.8000002
repeat-hh.lgp,CbCe,5,3.1
repeat-ii.lgp,CbCe,3,2.8000002
repeat-c.lgp,CbCe,2,1.8000002
repeat-ff.lgp,CbCe,5,1.1999998
