puzzle,model,cogLoad,predicted
dotogether-o.lgp,T,5,-0.5
dotogether-m.lgp,T,-3,-1.5
dotogether-o.lgp,T,5,-0.5
dotogether-a.lgp,T,-3,-0.9000001
dotogether-n.lgp,T,-3,-0.20000005
dotogether-b.lgp,T,-3,-0.70000005
dotogether-e.lgp,T,-3,-1.8
dotogether-d.lgp,T,-1,-1.2
dotogether-i.lgp,T,-1,-0.5999999
dotogether-l.lgp,T,-1,-0.4000001
dotogether-c.lgp,T,-1,-0.70000005
dotogether-j.lgp,T,0,-0.29999995
repeat-ee.lgp,C,-3,-2.8
repeat-gg.lgp,C,-2,-2.8
repeat-m.lgp,C,-2,-2.7
repeat-e.lgp,C,-1,-3.3
repeat-a.lgp,C,-2,-2.5
repeat-b.lgp,C,0,-2.1
repeat-cc.lgp,CbCe,5,3.6
repeat-g.lgp,C,-2,-1.5999999
repeat-dd.lgp,CbCe,5,3.6
repeat-f.lgp,C,-2,-1.3
repeat-hh.lgp,CbCe,5,3.1999998
repeat-c.lgp,CbCe,5,3.5
repeat-cc.lgp,CbCe,0,3.6
repeat-dd.lgp,CbCe,5,3.6
repeat-ii.lgp,CbCe,5,3.6
repeat-dd.lgp,CbCe,1,3.6
repeat-hh.lgp,CbCe,0,3.1999998
repeat-ff.lgp,CbCe,-2,2.5
repeat-i.lgp,CbTe,-1,-2.0
repeat-j.lgp,CbTe,-2,-2.0
repeat-o.lgp,CbTe,-3,-1.3
repeat-n.lgp,CbTe,5,-2.0
repeat-l.lgp,TbCe,5,0.099999905
repeat-l.lgp,TbCe,-2,0.099999905
repeat-n.lgp,CbTe,0,-2.0
repeat-x.lgp,TbCe,-2,-0.9000001
repeat-w.lgp,TbCe,-3,-0.5999999
repeat-q.lgp,TbCe,-1,0.5999999
repeat-p.lgp,TbCe,0,0.5999999
repeat-z.lgp,CbTe/TbCe,-1,-1.2
repeat-s.lgp,CbTe/TbCe,-2,-0.95000005
repeat-aa.lgp,CbTe/TbCe,-2,-1.4499999
doinorder-l.lgp,TbOe,-2,-2.1
doinorder-a.lgp,TbOe,-3,-2.6
doinorder-k.lgp,TbOe,-3,-2.7
doinorder-f.lgp,TbOe,-3,-2.9
doinorder-b.lgp,TbOe,0,0.8000002
doinorder-o.lgp,TbOe,5,2.6999998
doinorder-n.lgp,TbOe,0,2.5
doinorder-g.lgp,TbOe,0,0.9000001
doinorder-w.lgp,TbOe,5,1.6999998
doinorder-d.lgp,TbOe,0,0.4000001
doinorder-x.lgp,TbOe,5,1.1999998
doinorder-o.lgp,TbOe,5,2.6999998
doinorder-x.lgp,TbOe,-2,1.1999998
doinorder-p.lgp,TbOe,-2,0.4000001
doinorder-q.lgp,TbOe,-2,0.099999905
doinorder-s.lgp,TbObTee,5,2.0
doinorder-r.lgp,TbOe,5,3.5
doinorder-o.lgp,TbOe,5,2.6999998
doinorder-r.lgp,TbOe,5,3.5
doinorder-r.lgp,TbOe,5,3.5
