puzzle,model,cogLoad,predicted
dotogether-b.lgp,T,-3,-3.1
dotogether-m.lgp,T,-4,-2.8
dotogether-a.lgp,T,-2,-3.3
dotogether-o.lgp,T,0,-3.2
dotogether-e.lgp,T,2,-2.5
dotogether-c.lgp,T,-1,-2.0
dotogether-d.lgp,T,-2,-1.2
dotogether-l.lgp,T,-3,-1.8
dotogether-j.lgp,T,-2,-2.6
dotogether-f.lgp,T,-4,-1.7
dotogether-i.lgp,T,-4,-2.5
dotogether-k.lgp,T,0,-2.3
dotogether-n.lgp,T,-4,-2.2
dotogether-g.lgp,T,-2,-2.3
dotogether-h.lgp,T,-3,-2.1
repeat-e.lgp,C,-3,-3.3
repeat-m.lgp,C,-4,-3.2
repeat-ee.lgp,C,-4,-3.7
repeat-a.lgp,C,-2,-3.6
repeat-g.lgp,C,-3,-3.5
repeat-b.lgp,C,0,-2.2
repeat-dd.lgp,CbCe,3,0.0
repeat-hh.lgp,CbCe,-3,-0.5999999
repeat-c.lgp,CbCe,1,-0.70000005
repeat-cc.lgp,CbCe,-2,0.9000001
repeat-ii.lgp,CbCe,2,-0.70000005
repeat-gg.lgp,C,-4,-1.7
repeat-f.lgp,C,0,-1.7
repeat-ff.lgp,CbCe,-1,-0.099999905
repeat-i.lgp,CbTe,-2,-2.2
repeat-o.lgp,CbTe,-4,-2.5
repeat-w.lgp,TbCe,2,-0.9000001
repeat-l.lgp,TbCe,3,-1.2
repeat-n.lgp,CbTe,-2,-2.0
repeat-q.lgp,TbCe,-3,-0.29999995
repeat-y.lgp,TbCe,0,-0.20000005
repeat-r.lgp,TbCe,-2,1.4000001
repeat-p.lgp,TbCe,-3,-0.099999905
repeat-z.lgp,CbTe/TbCe,0,-0.7499999
repeat-j.lgp,CbTe,-4,-1.4000001
repeat-x.lgp,TbCe,-3,-1.2
repeat-s.lgp,CbTe/TbCe,5,-1.3000001
repeat-aa.lgp,CbTe/TbCe,5,-1.75
repeat-aa.lgp,CbTe/TbCe,3,-1.75
doinorder-n.lgp,TbOe,-4,-0.29999995
doinorder-k.lgp,TbOe,-4,-2.9
doinorder-a.lgp,TbOe,-4,-2.3
doinorder-l.lgp,TbOe,-4,-2.8
doinorder-w.lgp,TbOe,-4,-1.4000001
doinorder-f.lgp,TbOe,-3,-1.0
doinorder-b.lgp,TbOe,-1,-0.9000001
doinorder-o.lgp,TbOe,1,-0.29999995
doinorder-d.lgp,TbOe,-3,-1.4000001
doinorder-q.lgp,TbOe,3,0.0
doinorder-x.lgp,TbOe,-1,-0.70000005
doinorder-g.lgp,TbOe,-4,0.3000002
doinorder-y.lgp,TbOe,-3,-2.0
doinorder-s.lgp,TbObTee,-4,-0.5
doinorder-r.lgp,TbOe,-3,-1.2
doinorder-p.lgp,TbOe,-4,-2.3
doinorder-z.lgp,TbObTee,-4,-2.8
