puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-3.1
dotogether-n.lgp,T,-2,-3.4
dotogether-b.lgp,T,-3,-3.5
dotogether-m.lgp,T,-3,-3.3
dotogether-o.lgp,T,-1,-3.2
dotogether-d.lgp,T,-1,-3.1
dotogether-c.lgp,T,0,-2.5
dotogether-e.lgp,T,1,-1.7
dotogether-l.lgp,T,-2,-2.3
dotogether-f.lgp,T,-2,-1.8
dotogether-i.lgp,T,5,0.0
dotogether-i.lgp,T,1,0.0
dotogether-k.lgp,T,0,0.099999905
dotogether-j.lgp,T,1,-0.099999905
dotogether-g.lgp,T,-2,-0.20000005
dotogether-h.lgp,T,2,-0.099999905
repeat-ee.lgp,C,-3,-2.4
repeat-gg.lgp,C,-1,-2.7
repeat-f.lgp,C,-2,-2.4
repeat-m.lgp,C,-2,-2.7
repeat-e.lgp,C,-1,-2.5
repeat-b.lgp,C,0,-2.1
repeat-g.lgp,C,-1,-2.3
repeat-a.lgp,C,-1,-2.4
repeat-cc.lgp,CbCe,2,0.5
repeat-dd.lgp,CbCe,2,1.5
repeat-c.lgp,CbCe,0,1.0999999
repeat-hh.lgp,CbCe,5,1.6999998
repeat-ii.lgp,CbCe,-1,1.9000001
repeat-hh.lgp,CbCe,2,1.6999998
repeat-ff.lgp,CbCe,1,2.0
repeat-o.lgp,CbTe,-1,-1.5999999
repeat-j.lgp,CbTe,-1,-1.7
repeat-i.lgp,CbTe,-2,-1.9000001
repeat-n.lgp,CbTe,5,-1.9000001
repeat-n.lgp,CbTe,3,-1.9000001
repeat-l.lgp,TbCe,0,1.5
repeat-x.lgp,TbCe,0,0.099999905
repeat-w.lgp,TbCe,-1,-0.4000001
repeat-q.lgp,TbCe,-1,-0.4000001
repeat-p.lgp,TbCe,0,1.8000002
repeat-y.lgp,TbCe,0,0.19999981
repeat-r.lgp,TbCe,0,-0.4000001
repeat-z.lgp,CbTe/TbCe,3,-1.0500001
repeat-s.lgp,CbTe/TbCe,0,-0.9499999
