puzzle,model,cogLoad,predicted
dotogether-n.lgp,T,-4,-1.0999999
dotogether-m.lgp,T,-1,-2.4
dotogether-o.lgp,T,1,-2.5
dotogether-a.lgp,T,-4,-1.5
dotogether-b.lgp,T,-2,-1.5
dotogether-d.lgp,T,-1,-1.2
dotogether-l.lgp,T,0,-1.9000001
dotogether-c.lgp,T,0,-0.79999995
dotogether-e.lgp,T,5,-0.79999995
dotogether-i.lgp,T,-1,-0.79999995
dotogether-j.lgp,T,0,-1.0
dotogether-g.lgp,T,0,-0.79999995
dotogether-h.lgp,T,3,-0.79999995
repeat-gg.lgp,C,1,-2.8
repeat-f.lgp,C,1,-2.3
repeat-ee.lgp,C,-4,-2.6
repeat-a.lgp,C,-1,-2.6
repeat-b.lgp,C,0,-1.9000001
repeat-g.lgp,C,-4,-2.1
repeat-cc.lgp,CbCe,5,4.3999996
repeat-e.lgp,C,0,-1.4000001
repeat-dd.lgp,CbCe,5,2.1999998
repeat-m.lgp,C,-2,-1.4000001
repeat-dd.lgp,CbCe,-2,2.1999998
repeat-ii.lgp,CbCe,-3,2.4
repeat-c.lgp,CbCe,0,2.8000002
repeat-ff.lgp,CbCe,5,3.3000002
repeat-hh.lgp,CbCe,2,4.3
repeat-ff.lgp,CbCe,5,3.3000002
repeat-cc.lgp,CbCe,5,4.3999996
repeat-ff.lgp,CbCe,0,3.3000002
repeat-i.lgp,CbTe,-4,-2.4
repeat-n.lgp,CbTe,-3,-2.5
repeat-o.lgp,CbTe,-1,-1.0999999
repeat-j.lgp,CbTe,-4,-2.2
repeat-w.lgp,TbCe,5,0.9000001
repeat-x.lgp,TbCe,5,1.6999998
repeat-l.lgp,TbCe,5,1.3000002
repeat-w.lgp,TbCe,4,0.9000001
repeat-q.lgp,TbCe,2,0.5
repeat-y.lgp,TbCe,0,0.6999998
repeat-p.lgp,TbCe,1,1.5
repeat-z.lgp,CbTe/TbCe,2,-0.25
repeat-s.lgp,CbTe/TbCe,1,-0.049999952
repeat-aa.lgp,CbTe/TbCe,-1,-1.1920929E-7
doinorder-a.lgp,TbOe,1,-0.20000005
doinorder-f.lgp,TbOe,-1,-0.29999995
doinorder-k.lgp,TbOe,-2,-0.4000001
doinorder-w.lgp,TbOe,3,0.3000002
