puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-2.5
dotogether-m.lgp,T,-3,-2.6
dotogether-b.lgp,T,-3,-3.4
dotogether-n.lgp,T,-3,-3.6
dotogether-o.lgp,T,-2,-3.3
dotogether-c.lgp,T,-3,-3.2
dotogether-e.lgp,T,-1,-3.2
dotogether-f.lgp,T,-2,-2.7
dotogether-d.lgp,T,-3,-2.9
dotogether-i.lgp,T,-3,-2.4
dotogether-l.lgp,T,-3,-3.7
dotogether-j.lgp,T,-1,-3.1
dotogether-k.lgp,T,-2,-2.8
dotogether-g.lgp,T,-3,-2.9
dotogether-h.lgp,T,1,-2.4
repeat-ee.lgp,C,-3,-2.8
repeat-gg.lgp,C,-3,-2.9
repeat-f.lgp,C,-2,-2.7
repeat-m.lgp,C,-3,-3.1
repeat-e.lgp,C,-3,-3.5
repeat-b.lgp,C,-3,-3.2
repeat-a.lgp,C,-3,-3.4
repeat-g.lgp,C,-2,-3.0
repeat-cc.lgp,CbCe,-3,-1.5999999
repeat-dd.lgp,CbCe,-3,-1.9000001
repeat-c.lgp,CbCe,-3,-1.7
repeat-hh.lgp,CbCe,-2,-1.9000001
repeat-ii.lgp,CbCe,-2,-1.9000001
repeat-ff.lgp,CbCe,-3,-1.9000001
repeat-i.lgp,CbTe,-3,-2.7
repeat-o.lgp,CbTe,-3,-2.9
repeat-j.lgp,CbTe,-2,-2.9
repeat-n.lgp,CbTe,-3,-2.9
repeat-l.lgp,TbCe,-1,-1.4000001
repeat-q.lgp,TbCe,1,-1.4000001
repeat-x.lgp,TbCe,-2,-0.29999995
repeat-w.lgp,TbCe,-3,-0.5
repeat-r.lgp,TbCe,-2,-1.4000001
repeat-p.lgp,TbCe,-1,-1.5999999
repeat-y.lgp,TbCe,-3,-1.8
repeat-z.lgp,CbTe/TbCe,-2,-2.15
repeat-s.lgp,CbTe/TbCe,1,-1.9499999
repeat-aa.lgp,CbTe/TbCe,-3,-2.15
doinorder-n.lgp,TbOe,-3,-2.2
doinorder-a.lgp,TbOe,1,-3.1
doinorder-k.lgp,TbOe,-3,-3.0
doinorder-f.lgp,TbOe,-3,-3.1
doinorder-l.lgp,TbOe,-3,-3.1
doinorder-w.lgp,TbOe,-3,-2.2
doinorder-g.lgp,TbOe,-3,-2.2
doinorder-b.lgp,TbOe,-3,-1.4000001
doinorder-o.lgp,TbOe,0,-1.4000001
doinorder-p.lgp,TbOe,-3,-2.3
doinorder-d.lgp,TbOe,-3,-3.0
doinorder-x.lgp,TbOe,0,-2.2
doinorder-q.lgp,TbOe,-3,-2.9
doinorder-r.lgp,TbOe,-3,-2.2
doinorder-y.lgp,TbOe,-3,-2.3
doinorder-s.lgp,TbObTee,-3,-2.8
doinorder-z.lgp,TbObTee,-3,-2.6
doinorder-m.lgp,TbObTee,-3,-2.6
doinorder-t.lgp,TbObTee,-3,-2.6
doinorder-u.lgp,TbObTee,-3,-2.6
doinorder-v.lgp,TbObTee,-3,-2.6
doinorder-h.lgp,TbObTee,-3,-2.6
doinorder-bb.lgp,TbObTee,0,-2.6
doinorder-cc.lgp,TbObTee,-1,-1.8
doinorder-e.lgp,TbObTee,-3,-2.0
doinorder-j.lgp,TbObTee,-3,-2.6
repeat-u.lgp,TbObTee,-3,-2.6
repeat-t.lgp,CbTe/TbCe,-2,-2.6
repeat-bb.lgp,CbTe/TbCe,5,-2.7
integrative-h.lgp,TbOe,-3,-3.1
integrative-b.lgp,TbOe,-3,-2.3
integrative-e.lgp,TbOe,-3,-3.2
integrative-f.lgp,TbCOe,-3,-2.5
integrative-i.lgp,TbCOe,-3,-2.5
integrative-c.lgp,TbOe,-3,-1.5
integrative-a.lgp,TbCOe,-2,-2.5
integrative-g.lgp,TbObCee,-3,-2.6
