puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-2,-2.5
dotogether-b.lgp,T,0,-2.7
dotogether-n.lgp,T,-3,-2.4
dotogether-o.lgp,T,-2,-2.0
dotogether-e.lgp,T,1,-1.5999999
dotogether-c.lgp,T,-3,-2.3
dotogether-m.lgp,T,-3,-2.4
dotogether-d.lgp,T,-3,-2.5
dotogether-i.lgp,T,-2,-2.8
dotogether-k.lgp,T,1,-2.7
dotogether-j.lgp,T,1,-1.5999999
dotogether-f.lgp,T,-1,-2.0
dotogether-h.lgp,T,1,-1.5
repeat-ee.lgp,C,-3,-2.7
repeat-gg.lgp,C,-1,-2.9
repeat-e.lgp,C,-2,-2.7
repeat-f.lgp,C,-2,-2.9
repeat-m.lgp,C,-1,-2.5
repeat-a.lgp,C,-2,-2.7
repeat-b.lgp,C,1,-2.3
repeat-g.lgp,C,1,-2.4
repeat-cc.lgp,CbCe,-1,-1.9000001
repeat-ii.lgp,CbCe,-1,-2.2
repeat-c.lgp,CbCe,-3,-2.2
repeat-ff.lgp,CbCe,-4,-1.8
repeat-i.lgp,CbTe,-3,-3.0
repeat-o.lgp,CbTe,-3,-3.1
repeat-j.lgp,CbTe,-1,-3.0
repeat-n.lgp,CbTe,-1,-2.7
repeat-w.lgp,TbCe,1,-0.5
repeat-q.lgp,TbCe,2,-0.5999999
repeat-l.lgp,TbCe,-1,-0.099999905
repeat-x.lgp,TbCe,-2,0.099999905
repeat-r.lgp,TbCe,3,0.3000002
repeat-z.lgp,CbTe/TbCe,-1,-1.6500001
repeat-y.lgp,TbCe,2,-0.099999905
repeat-p.lgp,TbCe,-1,1.0
repeat-s.lgp,CbTe/TbCe,3,-0.25000012
repeat-aa.lgp,CbTe/TbCe,-1,-0.8499999
doinorder-a.lgp,TbOe,2,0.9000001
doinorder-k.lgp,TbOe,-1,-1.9000001
