puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-4,-2.9
dotogether-b.lgp,T,-4,-3.6
dotogether-o.lgp,T,-4,-2.8
dotogether-m.lgp,T,-4,-3.3
dotogether-n.lgp,T,-4,-3.9
dotogether-e.lgp,T,-3,-3.2
dotogether-d.lgp,T,-2,-3.5
dotogether-i.lgp,T,-1,-2.8
dotogether-l.lgp,T,0,-3.0
dotogether-f.lgp,T,0,-1.9000001
dotogether-c.lgp,T,-2,-2.1
dotogether-j.lgp,T,-2,-1.5
dotogether-k.lgp,T,-1,-1.5999999
dotogether-g.lgp,T,-1,-2.8
dotogether-h.lgp,T,5,-0.099999905
dotogether-h.lgp,T,-1,-0.099999905
repeat-ee.lgp,C,-4,-2.2
repeat-m.lgp,C,-4,-3.5
repeat-f.lgp,C,-3,-2.6
repeat-gg.lgp,C,-4,-3.5
repeat-b.lgp,C,1,-3.5
repeat-e.lgp,C,-1,-3.0
repeat-a.lgp,C,-4,-1.9000001
repeat-g.lgp,C,1,-2.6
repeat-cc.lgp,CbCe,2,1.8000002
repeat-dd.lgp,CbCe,1,1.4000001
repeat-hh.lgp,CbCe,-2,0.19999981
repeat-ff.lgp,CbCe,3,1.0
repeat-i.lgp,CbTe,-4,-1.7
repeat-n.lgp,CbTe,-4,-1.5999999
repeat-l.lgp,TbCe,-2,0.4000001
repeat-x.lgp,TbCe,-4,-1.5
repeat-y.lgp,TbCe,-4,-0.9000001
repeat-w.lgp,TbCe,-4,0.8000002
repeat-q.lgp,TbCe,-4,0.8000002
repeat-s.lgp,CbTe/TbCe,5,-1.0
repeat-r.lgp,TbCe,-4,0.19999981
repeat-s.lgp,CbTe/TbCe,-4,-1.0
repeat-z.lgp,CbTe/TbCe,-4,-1.35
repeat-j.lgp,CbTe,-4,-2.2
repeat-p.lgp,TbCe,-4,-2.2
repeat-o.lgp,CbTe,-4,-1.8
repeat-aa.lgp,CbTe/TbCe,-2,-2.4499998
doinorder-l.lgp,TbOe,-4,-2.2
doinorder-f.lgp,TbOe,5,-3.0
doinorder-k.lgp,TbOe,-3,-2.1
doinorder-a.lgp,TbOe,-4,-2.7
doinorder-n.lgp,TbOe,-4,-1.9000001
