puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-3,-2.6
dotogether-b.lgp,T,-2,-2.7
dotogether-m.lgp,T,-2,-3.3
dotogether-e.lgp,T,-2,-3.0
dotogether-n.lgp,T,-3,-2.8
dotogether-o.lgp,T,-3,-3.1
dotogether-d.lgp,T,-2,-3.4
dotogether-f.lgp,T,-2,-2.9
dotogether-i.lgp,T,1,-2.8
dotogether-k.lgp,T,-1,-1.4000001
dotogether-l.lgp,T,-2,-2.2
dotogether-h.lgp,T,1,-1.0
repeat-e.lgp,C,-3,-2.8
repeat-m.lgp,C,-2,-2.9
repeat-gg.lgp,C,-2,-2.7
repeat-ee.lgp,C,-2,-3.2
repeat-f.lgp,C,-1,-2.8
repeat-a.lgp,C,-2,-2.5
repeat-b.lgp,C,-1,-2.3
repeat-g.lgp,C,-1,-2.2
repeat-dd.lgp,CbCe,-1,-2.1
repeat-cc.lgp,CbCe,0,-2.0
repeat-hh.lgp,CbCe,1,-2.1
repeat-ii.lgp,CbCe,-2,-2.1
repeat-c.lgp,CbCe,-1,-1.0
repeat-ff.lgp,CbCe,-1,-2.3
repeat-j.lgp,CbTe,-4,-2.7
repeat-o.lgp,CbTe,-3,-2.9
repeat-w.lgp,TbCe,5,-0.70000005
repeat-l.lgp,TbCe,-2,0.5
repeat-q.lgp,TbCe,5,1.3000002
repeat-i.lgp,CbTe,-2,-2.3
repeat-q.lgp,TbCe,0,1.3000002
repeat-n.lgp,CbTe,-2,-2.4
repeat-x.lgp,TbCe,0,0.5999999
repeat-p.lgp,TbCe,-3,1.0
repeat-r.lgp,TbCe,-2,1.6999998
repeat-w.lgp,TbCe,-1,-0.70000005
repeat-y.lgp,TbCe,1,1.0999999
repeat-aa.lgp,CbTe/TbCe,0,-0.6999999
doinorder-a.lgp,TbOe,-1,0.099999905
doinorder-f.lgp,TbOe,-4,-0.099999905
doinorder-k.lgp,TbOe,-3,-1.3
doinorder-n.lgp,TbOe,0,-0.9000001
doinorder-l.lgp,TbOe,1,-1.0
doinorder-o.lgp,TbOe,5,2.8000002
doinorder-o.lgp,TbOe,5,2.8000002
doinorder-o.lgp,TbOe,5,2.8000002
doinorder-o.lgp,TbOe,0,2.8000002
doinorder-w.lgp,TbOe,2,1.6999998
doinorder-g.lgp,TbOe,-2,1.5
doinorder-x.lgp,TbOe,1,0.5999999
doinorder-p.lgp,TbOe,0,0.8000002
doinorder-d.lgp,TbOe,1,0.9000001
doinorder-b.lgp,TbOe,0,0.8000002
doinorder-q.lgp,TbOe,5,1.9000001
doinorder-q.lgp,TbOe,3,1.9000001
doinorder-y.lgp,TbOe,-3,0.0
doinorder-m.lgp,TbObTee,3,1.8000002
doinorder-r.lgp,TbOe,5,0.19999981
doinorder-z.lgp,TbObTee,5,2.1
doinorder-s.lgp,TbObTee,5,2.9
doinorder-r.lgp,TbOe,3,0.19999981
doinorder-t.lgp,TbObTee,-2,2.1
doinorder-u.lgp,TbObTee,0,1.0999999
doinorder-bb.lgp,TbObTee,5,1.5999999
doinorder-j.lgp,TbObTee,1,0.3000002
doinorder-cc.lgp,TbObTee,5,2.1999998
doinorder-h.lgp,TbObTee,0,0.3000002
doinorder-v.lgp,TbObTee,5,0.5
doinorder-cc.lgp,TbObTee,5,2.1999998
