puzzle,model,cogLoad,predicted
dotogether-m.lgp,T,-1,-1.0999999
dotogether-b.lgp,T,-3,-0.79999995
dotogether-n.lgp,T,-4,0.0
dotogether-a.lgp,T,-3,-0.5
dotogether-e.lgp,T,-2,-1.9000001
dotogether-c.lgp,T,-3,-1.5
dotogether-i.lgp,T,-3,-0.5
dotogether-f.lgp,T,5,-0.20000005
dotogether-f.lgp,T,1,-0.20000005
dotogether-l.lgp,T,-4,-0.5999999
dotogether-j.lgp,T,-3,0.0
dotogether-h.lgp,T,5,-0.099999905
dotogether-g.lgp,T,-3,-0.29999995
dotogether-k.lgp,T,1,-0.5999999
dotogether-d.lgp,T,1,-1.0999999
dotogether-h.lgp,T,5,-0.099999905
dotogether-o.lgp,T,1,-0.29999995
dotogether-h.lgp,T,4,-0.099999905
repeat-e.lgp,C,5,-1.5999999
repeat-ee.lgp,C,-4,-2.0
repeat-gg.lgp,C,-1,-2.5
repeat-f.lgp,C,5,-2.2
repeat-m.lgp,C,-4,-2.3
repeat-a.lgp,C,-2,-2.6
repeat-b.lgp,C,2,-2.5
repeat-g.lgp,C,-1,-2.6
repeat-dd.lgp,CbCe,5,3.1999998
repeat-cc.lgp,CbCe,5,3.1999998
repeat-cc.lgp,CbCe,3,3.1999998
repeat-dd.lgp,CbCe,3,3.1999998
repeat-ii.lgp,CbCe,5,2.5
repeat-f.lgp,C,1,-2.2
repeat-hh.lgp,CbCe,-2,2.5
repeat-c.lgp,CbCe,5,2.0
