puzzle,model,cogLoad,predicted
dotogether-a.lgp,T,-2,-3.1
dotogether-o.lgp,T,1,-3.1
dotogether-b.lgp,T,-3,-2.3
dotogether-m.lgp,T,-4,-3.0
dotogether-e.lgp,T,-1,-2.8
dotogether-d.lgp,T,-3,-3.1
dotogether-i.lgp,T,-3,-3.1
dotogether-l.lgp,T,-3,-3.5
dotogether-c.lgp,T,-3,-3.2
dotogether-k.lgp,T,0,-3.0
dotogether-j.lgp,T,-3,-2.5
dotogether-h.lgp,T,-4,-2.7
repeat-gg.lgp,C,1,-3.0
repeat-ee.lgp,C,-4,-3.2
repeat-e.lgp,C,-4,-3.3
repeat-m.lgp,C,-4,-3.5
repeat-f.lgp,C,-4,-2.8
repeat-b.lgp,C,-3,-2.7
repeat-a.lgp,C,-4,-3.5
repeat-g.lgp,C,-3,-3.4
repeat-cc.lgp,CbCe,2,-1.0
repeat-dd.lgp,CbCe,-2,-0.79999995
repeat-hh.lgp,CbCe,-3,-1.3
repeat-ii.lgp,CbCe,-3,-1.3
repeat-ff.lgp,CbCe,-4,-1.3
repeat-o.lgp,CbTe,-4,-3.4
repeat-i.lgp,CbTe,-4,-3.5
repeat-j.lgp,CbTe,-4,-3.4
repeat-n.lgp,CbTe,-4,-3.4
repeat-l.lgp,TbCe,1,-2.0
repeat-w.lgp,TbCe,-4,-2.3
repeat-q.lgp,TbCe,5,-0.4000001
repeat-q.lgp,TbCe,1,-0.4000001
repeat-x.lgp,TbCe,-4,0.4000001
repeat-p.lgp,TbCe,-4,-0.5
repeat-y.lgp,TbCe,2,-1.2
repeat-r.lgp,TbCe,5,-0.29999995
repeat-s.lgp,CbTe/TbCe,-4,-1.35
repeat-aa.lgp,CbTe/TbCe,5,-1.2
repeat-z.lgp,CbTe/TbCe,-4,-1.0
repeat-r.lgp,TbCe,5,-0.29999995
repeat-r.lgp,TbCe,1,-0.29999995
repeat-aa.lgp,CbTe/TbCe,-3,-1.2
doinorder-n.lgp,TbOe,2,-1.3
doinorder-a.lgp,TbOe,-3,-1.5999999
doinorder-l.lgp,TbOe,-3,-2.2
doinorder-k.lgp,TbOe,-4,-2.1
doinorder-f.lgp,TbOe,-4,-2.6
doinorder-w.lgp,TbOe,-3,-2.4
doinorder-o.lgp,TbOe,5,-0.79999995
doinorder-g.lgp,TbOe,-4,-2.3
doinorder-b.lgp,TbOe,5,-1.3
doinorder-o.lgp,TbOe,5,-0.79999995
doinorder-q.lgp,TbOe,-4,-1.5999999
doinorder-d.lgp,TbOe,-4,-3.0
doinorder-p.lgp,TbOe,-4,-3.0
doinorder-x.lgp,TbOe,5,-1.7
doinorder-o.lgp,TbOe,0,-0.79999995
doinorder-b.lgp,TbOe,1,-1.3
doinorder-x.lgp,TbOe,1,-1.7
doinorder-y.lgp,TbOe,-4,-1.3
doinorder-r.lgp,TbOe,-4,-2.4
doinorder-s.lgp,TbObTee,5,0.0
doinorder-z.lgp,TbObTee,5,0.9000001
doinorder-s.lgp,TbObTee,0,0.0
