puzzle,model,cogLoad,predicted
dotogether-n.lgp,T,-3,-2.9
dotogether-b.lgp,T,-4,-3.6
dotogether-m.lgp,T,-4,-3.3
dotogether-o.lgp,T,-2,-3.4
dotogether-e.lgp,T,-2,-3.1
dotogether-a.lgp,T,-3,-3.2
dotogether-d.lgp,T,-3,-3.2
dotogether-f.lgp,T,-2,-3.2
dotogether-c.lgp,T,-2,-2.8
dotogether-l.lgp,T,-3,-3.3
dotogether-i.lgp,T,-2,-2.9
dotogether-j.lgp,T,-2,-2.6
dotogether-g.lgp,T,-2,-3.0
dotogether-k.lgp,T,-2,-2.4
dotogether-h.lgp,T,0,-2.4
repeat-e.lgp,C,-1,-2.6
repeat-m.lgp,C,-2,-2.5
repeat-f.lgp,C,-3,-1.5999999
repeat-gg.lgp,C,-3,-3.1
repeat-ee.lgp,C,-4,-3.2
repeat-a.lgp,C,-1,-3.7
repeat-b.lgp,C,-2,-2.8
repeat-cc.lgp,CbCe,0,-1.5999999
repeat-dd.lgp,CbCe,-1,-1.5
repeat-hh.lgp,CbCe,-1,-0.099999905
repeat-ff.lgp,CbCe,5,4.2
repeat-g.lgp,C,-2,-0.9000001
repeat-ii.lgp,CbCe,5,4.3999996
repeat-c.lgp,CbCe,5,3.9
repeat-ii.lgp,CbCe,-1,4.3999996
repeat-ff.lgp,CbCe,5,4.2
repeat-c.lgp,CbCe,1,3.9
repeat-ff.lgp,CbCe,1,4.2
repeat-j.lgp,CbTe,-1,-3.0
repeat-o.lgp,CbTe,-2,-2.2
repeat-n.lgp,CbTe,-1,-2.8
repeat-l.lgp,TbCe,-1,0.5
repeat-w.lgp,TbCe,-2,0.099999905
repeat-y.lgp,TbCe,5,1.8000002
repeat-i.lgp,CbTe,-3,-1.9000001
repeat-q.lgp,TbCe,-3,0.4000001
repeat-p.lgp,TbCe,5,2.1
repeat-x.lgp,TbCe,-1,1.5
repeat-r.lgp,TbCe,5,1.0999999
repeat-p.lgp,TbCe,1,2.1
repeat-r.lgp,TbCe,5,1.0999999
repeat-y.lgp,TbCe,0,1.8000002
repeat-r.lgp,TbCe,1,1.0999999
repeat-z.lgp,CbTe/TbCe,-1,-0.35000014
repeat-s.lgp,CbTe/TbCe,5,-0.5
repeat-s.lgp,CbTe/TbCe,0,-0.5
repeat-aa.lgp,CbTe/TbCe,0,-0.95000005
doinorder-a.lgp,TbOe,-2,0.6999998
doinorder-f.lgp,TbOe,-3,-1.5999999
doinorder-k.lgp,TbOe,-3,-1.5999999
doinorder-l.lgp,TbOe,-2,-1.7
doinorder-n.lgp,TbOe,-4,-2.1
